user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
MHfLZQCB,1412121600000,8,213,2627,85,20
MHfLZQCB,1412208000000,12,263,1603,147,42
MHfLZQCB,1412294400000,9,544,1683,149,23
MHfLZQCB,1412380800000,2,360,1074,80,11
MHfLZQCB,1412467200000,17,384,1017,142,14
MHfLZQCB,1412553600000,4,414,1683,158,20
MHfLZQCB,1412640000000,11,537,1244,83,17
MHfLZQCB,1412726400000,19,154,1388,117,34
MHfLZQCB,1412812800000,5,167,1599,79,46
MHfLZQCB,1412899200000,15,457,2946,167,38
MHfLZQCB,1412985600000,2,194,1636,167,33
MHfLZQCB,1413072000000,16,367,2471,136,0
MHfLZQCB,1413158400000,5,493,1253,41,25
MHfLZQCB,1413244800000,18,151,1852,173,33
MHfLZQCB,1413331200000,17,521,2134,197,23
MHfLZQCB,1413417600000,13,466,1194,69,18
MHfLZQCB,1413504000000,0,306,2329,3,0
MHfLZQCB,1413590400000,13,483,2580,16,5
MHfLZQCB,1413676800000,18,271,1302,159,42
MHfLZQCB,1413763200000,13,232,2955,26,13
MHfLZQCB,1413849600000,6,313,1989,74,21
MHfLZQCB,1413936000000,6,375,2259,97,16
MHfLZQCB,1414022400000,11,241,2257,143,15
MHfLZQCB,1414108800000,8,312,2645,85,29
MHfLZQCB,1414195200000,12,193,2287,24,9
MHfLZQCB,1414281600000,15,383,2006,23,6
MHfLZQCB,1414368000000,14,285,2372,178,12
MHfLZQCB,1414454400000,6,515,2492,72,24
MHfLZQCB,1414540800000,3,365,2330,7,11
MHfLZQCB,1414627200000,12,157,2237,59,14
MHfLZQCB,1414713600000,19,254,2941,134,36
