user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
QCwRaQaU,1404172800000,9,287,1999,61,27
QCwRaQaU,1404259200000,18,282,1645,45,16
QCwRaQaU,1404345600000,6,542,2036,104,41
QCwRaQaU,1404432000000,11,518,1716,115,16
QCwRaQaU,1404518400000,10,508,1048,147,11
QCwRaQaU,1404604800000,6,525,1669,134,9
QCwRaQaU,1404691200000,16,173,1033,2,35
QCwRaQaU,1404777600000,18,457,1711,34,28
QCwRaQaU,1404864000000,19,446,1957,102,37
QCwRaQaU,1404950400000,3,474,1939,183,10
QCwRaQaU,1405036800000,5,542,1029,179,29
QCwRaQaU,1405123200000,3,404,2227,72,36
QCwRaQaU,1405209600000,0,213,1022,173,6
QCwRaQaU,1405296000000,13,465,1788,114,29
QCwRaQaU,1405382400000,2,247,2078,127,28
QCwRaQaU,1405468800000,9,419,1833,124,18
QCwRaQaU,1405555200000,4,194,1936,96,12
QCwRaQaU,1405641600000,4,525,1251,160,24
QCwRaQaU,1405728000000,19,462,2817,66,21
QCwRaQaU,1405814400000,19,422,1113,76,2
QCwRaQaU,1405900800000,4,368,2278,65,8
QCwRaQaU,1405987200000,7,453,1181,146,17
QCwRaQaU,1406073600000,18,257,2476,33,22
QCwRaQaU,1406160000000,6,320,2709,88,15
QCwRaQaU,1406246400000,12,210,2912,61,13
QCwRaQaU,1406332800000,12,217,1575,144,16
QCwRaQaU,1406419200000,5,219,1310,153,6
QCwRaQaU,1406505600000,14,532,2238,166,25
QCwRaQaU,1406592000000,10,434,1592,47,21
QCwRaQaU,1406678400000,2,390,1921,10,13
QCwRaQaU,1406764800000,16,435,1777,49,14
QCwRaQaU,1406851200000,16,485,1592,114,24
QCwRaQaU,1406937600000,12,233,2110,119,14
QCwRaQaU,1407024000000,17,484,2373,5,7
QCwRaQaU,1407110400000,8,543,2920,167,3
QCwRaQaU,1407196800000,7,536,2558,138,6
QCwRaQaU,1407283200000,5,198,1025,43,12
QCwRaQaU,1407369600000,12,492,2866,100,5
QCwRaQaU,1407456000000,1,198,2369,58,40
QCwRaQaU,1407542400000,13,332,1369,101,20
QCwRaQaU,1407628800000,2,430,1689,56,2
QCwRaQaU,1407715200000,18,183,2884,13,10
QCwRaQaU,1407801600000,7,456,2105,174,45
QCwRaQaU,1407888000000,7,439,1826,15,38
QCwRaQaU,1407974400000,18,383,1623,184,27
QCwRaQaU,1408060800000,14,492,1521,20,30
QCwRaQaU,1408147200000,12,163,1704,19,14
QCwRaQaU,1408233600000,8,322,1969,198,3
QCwRaQaU,1408320000000,8,450,2565,72,17
QCwRaQaU,1408406400000,17,501,1720,142,15
QCwRaQaU,1408492800000,12,513,2169,117,13
QCwRaQaU,1408579200000,8,330,2905,100,15
QCwRaQaU,1408665600000,6,453,2524,139,6
QCwRaQaU,1408752000000,15,436,2105,115,48
QCwRaQaU,1408838400000,12,232,2613,170,33
QCwRaQaU,1408924800000,17,311,2358,14,21
QCwRaQaU,1409011200000,10,192,2026,86,37
QCwRaQaU,1409097600000,3,163,2712,40,49
QCwRaQaU,1409184000000,13,263,1103,83,5
QCwRaQaU,1409270400000,0,371,1786,190,11
QCwRaQaU,1409356800000,0,479,2384,55,11
QCwRaQaU,1409443200000,7,336,1056,199,20
QCwRaQaU,1409529600000,5,249,1745,112,13
QCwRaQaU,1409616000000,3,172,2476,90,4
QCwRaQaU,1409702400000,15,410,2319,26,28
QCwRaQaU,1409788800000,2,344,2505,155,38
QCwRaQaU,1409875200000,13,444,2755,122,36
QCwRaQaU,1409961600000,16,430,2916,159,14
QCwRaQaU,1410048000000,11,429,2525,165,42
QCwRaQaU,1410134400000,7,377,1696,23,7
QCwRaQaU,1410220800000,5,218,2669,39,43
QCwRaQaU,1410307200000,8,225,2980,65,31
QCwRaQaU,1410393600000,17,165,1853,179,36
QCwRaQaU,1410480000000,10,249,1853,186,48
QCwRaQaU,1410566400000,4,202,2122,114,38
QCwRaQaU,1410652800000,9,542,1933,187,16
QCwRaQaU,1410739200000,8,371,1744,152,45
QCwRaQaU,1410825600000,4,342,2289,55,2
QCwRaQaU,1410912000000,2,382,2676,23,36
QCwRaQaU,1410998400000,18,361,1132,38,29
QCwRaQaU,1411084800000,8,258,1198,106,28
QCwRaQaU,1411171200000,15,453,1114,48,32
QCwRaQaU,1411257600000,16,431,2052,10,21
QCwRaQaU,1411344000000,1,317,2421,134,47
QCwRaQaU,1411430400000,9,340,1167,26,37
QCwRaQaU,1411516800000,6,170,2211,3,48
QCwRaQaU,1411603200000,11,362,2828,116,48
QCwRaQaU,1411689600000,14,389,1683,54,32
QCwRaQaU,1411776000000,0,255,2536,127,22
QCwRaQaU,1411862400000,16,386,2909,25,23
QCwRaQaU,1411948800000,17,524,1143,47,41
QCwRaQaU,1412035200000,0,302,1768,46,42
