user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
WZQuT62H,1404172800000,6,1452,446,2484,37
WZQuT62H,1404259200000,6,1478,446,2469,37
WZQuT62H,1404345600000,6,1501,446,2441,37
WZQuT62H,1404432000000,6,1522,446,2466,37
WZQuT62H,1404518400000,6,1547,446,2470,37
WZQuT62H,1404604800000,6,1549,446,2458,37
WZQuT62H,1404691200000,6,1525,446,2461,37
WZQuT62H,1404777600000,6,1552,446,2475,37
WZQuT62H,1404864000000,6,1557,446,2469,37
WZQuT62H,1404950400000,6,1553,446,2487,37
WZQuT62H,1405036800000,6,1530,446,2492,37
WZQuT62H,1405123200000,6,1558,446,2512,37
WZQuT62H,1405209600000,6,1585,446,2522,37
WZQuT62H,1405296000000,6,1572,446,2547,37
WZQuT62H,1405382400000,6,1580,446,2547,37
WZQuT62H,1405468800000,6,1561,446,2558,37
WZQuT62H,1405555200000,6,1583,446,2554,37
WZQuT62H,1405641600000,6,1571,446,2540,37
WZQuT62H,1405728000000,6,1552,446,2525,37
WZQuT62H,1405814400000,6,1575,446,2549,37
WZQuT62H,1405900800000,6,1569,446,2549,37
WZQuT62H,1405987200000,6,1587,446,2565,37
WZQuT62H,1406073600000,6,1564,446,2592,37
WZQuT62H,1406160000000,6,1545,446,2595,37
WZQuT62H,1406246400000,6,1536,446,2606,37
WZQuT62H,1406332800000,6,1510,446,2595,37
WZQuT62H,1406419200000,6,1515,446,2592,37
WZQuT62H,1406505600000,6,1498,446,2564,37
WZQuT62H,1406592000000,6,1505,446,2579,37
WZQuT62H,1406678400000,6,1481,446,2563,37
WZQuT62H,1406764800000,6,1464,446,2544,37
WZQuT62H,1406851200000,6,1483,446,2535,37
WZQuT62H,1406937600000,6,1483,446,2564,37
WZQuT62H,1407024000000,6,1511,446,2577,37
WZQuT62H,1407110400000,6,1483,446,2549,37
WZQuT62H,1407196800000,6,1473,446,2549,37
WZQuT62H,1407283200000,6,1444,446,2530,37
WZQuT62H,1407369600000,6,1443,446,2502,37
WZQuT62H,1407456000000,6,1427,446,2483,37
WZQuT62H,1407542400000,6,1399,446,2497,37
WZQuT62H,1407628800000,6,1403,446,2468,37
WZQuT62H,1407715200000,6,1419,446,2438,37
WZQuT62H,1407801600000,6,1435,446,2420,37
WZQuT62H,1407888000000,6,1428,446,2415,37
WZQuT62H,1407974400000,6,1409,446,2398,37
WZQuT62H,1408060800000,6,1422,446,2392,37
WZQuT62H,1408147200000,6,1423,446,2370,37
WZQuT62H,1408233600000,6,1394,446,2351,37
WZQuT62H,1408320000000,6,1392,446,2350,37
WZQuT62H,1408406400000,6,1370,446,2324,37
WZQuT62H,1408492800000,6,1344,446,2343,37
WZQuT62H,1408579200000,6,1352,446,2323,37
WZQuT62H,1408665600000,6,1346,446,2335,37
WZQuT62H,1408752000000,6,1347,446,2312,37
WZQuT62H,1408838400000,6,1363,446,2293,37
WZQuT62H,1408924800000,6,1367,446,2302,37
WZQuT62H,1409011200000,6,1367,446,2296,37
WZQuT62H,1409097600000,6,1393,446,2281,37
WZQuT62H,1409184000000,6,1414,446,2259,37
WZQuT62H,1409270400000,6,1429,446,2241,37
WZQuT62H,1409356800000,6,1454,446,2254,37
WZQuT62H,1409443200000,6,1467,446,2251,37
WZQuT62H,1409529600000,6,1481,446,2277,37
WZQuT62H,1409616000000,6,1509,446,2269,37
WZQuT62H,1409702400000,6,1537,446,2247,37
WZQuT62H,1409788800000,6,1510,446,2268,37
WZQuT62H,1409875200000,6,1508,446,2258,37
WZQuT62H,1409961600000,6,1516,446,2258,37
WZQuT62H,1410048000000,6,1537,446,2284,37
WZQuT62H,1410134400000,6,1560,446,2288,37
WZQuT62H,1410220800000,6,1581,446,2260,37
WZQuT62H,1410307200000,6,1593,446,2248,37
WZQuT62H,1410393600000,6,1614,446,2249,37
WZQuT62H,1410480000000,6,1629,446,2244,37
WZQuT62H,1410566400000,6,1651,446,2244,37
WZQuT62H,1410652800000,6,1666,446,2272,37
WZQuT62H,1410739200000,6,1647,446,2261,37
WZQuT62H,1410825600000,6,1649,446,2265,37
WZQuT62H,1410912000000,6,1675,446,2269,37
WZQuT62H,1410998400000,6,1676,446,2259,37
WZQuT62H,1411084800000,6,1656,446,2285,37
WZQuT62H,1411171200000,6,1669,446,2271,37
WZQuT62H,1411257600000,6,1694,446,2246,37
WZQuT62H,1411344000000,6,1697,446,2227,37
WZQuT62H,1411430400000,6,1695,446,2202,37
WZQuT62H,1411516800000,6,1680,446,2229,37
WZQuT62H,1411603200000,6,1650,446,2221,37
WZQuT62H,1411689600000,6,1669,446,2200,37
WZQuT62H,1411776000000,6,1685,446,2201,37
WZQuT62H,1411862400000,6,1664,446,2228,37
WZQuT62H,1411948800000,6,1667,446,2240,37
WZQuT62H,1412035200000,6,1686,446,2243,37
WZQuT62H,1412121600000,6,1679,446,2218,37
WZQuT62H,1412208000000,6,1651,446,2190,37
WZQuT62H,1412294400000,6,1670,446,2199,37
WZQuT62H,1412380800000,6,1665,446,2196,37
WZQuT62H,1412467200000,6,1659,446,2216,37
WZQuT62H,1412553600000,6,1668,446,2227,37
WZQuT62H,1412640000000,6,1691,446,2253,37
WZQuT62H,1412726400000,6,1687,446,2256,37
WZQuT62H,1412812800000,6,1696,446,2233,37
WZQuT62H,1412899200000,6,1674,446,2261,37
WZQuT62H,1412985600000,6,1688,446,2240,37
WZQuT62H,1413072000000,6,1665,446,2269,37
WZQuT62H,1413158400000,6,1681,446,2258,37
WZQuT62H,1413244800000,6,1704,446,2287,37
WZQuT62H,1413331200000,6,1720,446,2301,37
WZQuT62H,1413417600000,6,1741,446,2313,37
WZQuT62H,1413504000000,6,1750,446,2335,37
WZQuT62H,1413590400000,6,1774,446,2311,37
WZQuT62H,1413676800000,6,1796,446,2330,37
WZQuT62H,1413763200000,6,1801,446,2336,37
WZQuT62H,1413849600000,6,1800,446,2356,37
WZQuT62H,1413936000000,6,1770,446,2380,37
WZQuT62H,1414022400000,6,1741,446,2357,37
WZQuT62H,1414108800000,6,1722,446,2373,37
WZQuT62H,1414195200000,6,1714,446,2373,37
WZQuT62H,1414281600000,6,1702,446,2393,37
WZQuT62H,1414368000000,6,1721,446,2422,37
WZQuT62H,1414454400000,6,1722,446,2398,37
WZQuT62H,1414540800000,6,1707,446,2420,37
WZQuT62H,1414627200000,6,1704,446,2436,37
WZQuT62H,1414713600000,6,1706,446,2444,37
