user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
WjXJxKSy,1393632000000,1,227,1437,158,27
WjXJxKSy,1393718400000,12,523,1859,133,12
WjXJxKSy,1393804800000,2,403,2510,25,25
WjXJxKSy,1393891200000,1,521,1082,177,12
WjXJxKSy,1393977600000,4,283,2940,130,27
WjXJxKSy,1394064000000,11,517,1822,74,19
WjXJxKSy,1394150400000,13,201,2456,1,46
WjXJxKSy,1394236800000,14,335,2320,136,2
WjXJxKSy,1394323200000,8,358,2719,141,22
WjXJxKSy,1394409600000,18,162,1899,15,11
WjXJxKSy,1394496000000,10,406,2361,65,6
WjXJxKSy,1394582400000,15,376,2093,160,2
WjXJxKSy,1394668800000,0,486,2186,8,34
WjXJxKSy,1394755200000,5,288,2792,99,37
WjXJxKSy,1394841600000,3,165,1343,135,45
WjXJxKSy,1394928000000,11,407,1344,106,40
WjXJxKSy,1395014400000,18,273,2637,10,15
WjXJxKSy,1395100800000,14,175,1773,152,49
WjXJxKSy,1395187200000,9,177,1921,194,1
WjXJxKSy,1395273600000,5,473,1691,118,26
WjXJxKSy,1395360000000,4,154,2243,169,30
WjXJxKSy,1395446400000,5,355,2233,40,26
WjXJxKSy,1395532800000,17,530,2293,74,8
WjXJxKSy,1395619200000,16,160,1515,92,39
WjXJxKSy,1395705600000,3,193,1622,84,16
WjXJxKSy,1395792000000,5,372,2797,83,28
WjXJxKSy,1395878400000,17,510,2519,193,40
WjXJxKSy,1395964800000,7,189,1497,196,7
WjXJxKSy,1396051200000,18,419,2620,36,36
WjXJxKSy,1396137600000,13,456,2380,19,38
WjXJxKSy,1396224000000,7,516,1981,31,48
WjXJxKSy,1396310400000,6,545,1316,181,18
WjXJxKSy,1396396800000,6,250,1114,133,19
WjXJxKSy,1396483200000,12,428,2550,137,44
WjXJxKSy,1396569600000,7,363,1333,156,23
WjXJxKSy,1396656000000,15,263,1076,74,22
WjXJxKSy,1396742400000,13,314,2661,33,11
WjXJxKSy,1396828800000,7,279,1810,25,40
WjXJxKSy,1396915200000,13,188,2815,60,26
WjXJxKSy,1397001600000,13,201,2204,48,23
WjXJxKSy,1397088000000,8,415,1615,98,21
WjXJxKSy,1397174400000,8,322,1994,31,17
WjXJxKSy,1397260800000,5,451,2284,6,0
WjXJxKSy,1397347200000,11,177,1047,73,3
WjXJxKSy,1397433600000,13,545,1986,31,33
WjXJxKSy,1397520000000,17,250,2867,152,42
WjXJxKSy,1397606400000,10,326,2568,122,11
WjXJxKSy,1397692800000,12,370,2202,170,20
WjXJxKSy,1397779200000,11,359,1722,51,36
WjXJxKSy,1397865600000,14,274,1223,96,2
WjXJxKSy,1397952000000,10,264,2888,46,5
WjXJxKSy,1398038400000,3,467,1710,6,41
WjXJxKSy,1398124800000,0,214,1376,133,22
WjXJxKSy,1398211200000,16,417,1303,188,1
WjXJxKSy,1398297600000,16,160,2969,98,39
WjXJxKSy,1398384000000,19,481,2687,173,25
WjXJxKSy,1398470400000,11,337,1174,76,1
WjXJxKSy,1398556800000,6,215,2157,31,29
WjXJxKSy,1398643200000,3,413,1190,68,40
WjXJxKSy,1398729600000,19,265,1681,184,5
WjXJxKSy,1398816000000,1,460,1367,109,48
WjXJxKSy,1398902400000,12,346,2753,111,45
WjXJxKSy,1398988800000,5,538,1666,89,4
WjXJxKSy,1399075200000,6,338,1112,157,1
WjXJxKSy,1399161600000,9,289,1455,58,13
WjXJxKSy,1399248000000,7,152,1059,119,48
WjXJxKSy,1399334400000,19,340,1481,193,9
WjXJxKSy,1399420800000,10,436,1501,34,38
WjXJxKSy,1399507200000,2,242,2367,80,37
WjXJxKSy,1399593600000,7,235,1122,26,48
WjXJxKSy,1399680000000,15,203,2475,8,6
WjXJxKSy,1399766400000,4,534,2874,77,28
WjXJxKSy,1399852800000,11,453,1986,171,33
WjXJxKSy,1399939200000,18,504,2210,90,30
WjXJxKSy,1400025600000,10,295,1934,68,38
WjXJxKSy,1400112000000,15,406,1704,18,13
WjXJxKSy,1400198400000,7,433,2562,82,44
WjXJxKSy,1400284800000,13,344,2518,175,9
WjXJxKSy,1400371200000,19,540,1330,94,22
WjXJxKSy,1400457600000,4,437,2073,96,35
WjXJxKSy,1400544000000,6,484,2452,142,22
WjXJxKSy,1400630400000,19,336,2606,97,35
WjXJxKSy,1400716800000,16,227,1847,89,46
WjXJxKSy,1400803200000,9,463,1316,23,27
WjXJxKSy,1400889600000,10,444,2423,198,43
WjXJxKSy,1400976000000,6,359,2794,81,31
WjXJxKSy,1401062400000,19,270,1846,73,48
WjXJxKSy,1401148800000,14,373,1371,113,39
