user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
aHU7CUkV,1401580800000,3,181,2792,181,33
aHU7CUkV,1401667200000,8,300,1416,26,2
aHU7CUkV,1401753600000,4,248,1192,55,9
aHU7CUkV,1401840000000,2,428,2080,103,5
aHU7CUkV,1401926400000,8,248,1094,82,41
aHU7CUkV,1402012800000,16,533,1723,22,14
aHU7CUkV,1402099200000,6,547,2847,32,49
aHU7CUkV,1402185600000,19,489,2366,26,23
aHU7CUkV,1402272000000,5,404,2912,169,34
aHU7CUkV,1402358400000,14,170,2190,102,26
aHU7CUkV,1402444800000,16,429,2048,140,19
aHU7CUkV,1402531200000,12,295,2898,153,23
aHU7CUkV,1402617600000,17,487,1258,160,5
aHU7CUkV,1402704000000,2,390,1861,180,19
aHU7CUkV,1402790400000,4,379,2035,29,6
aHU7CUkV,1402876800000,2,513,2534,62,3
aHU7CUkV,1402963200000,0,479,1259,63,12
aHU7CUkV,1403049600000,10,395,1349,102,41
aHU7CUkV,1403136000000,14,541,1110,113,46
aHU7CUkV,1403222400000,8,193,1725,194,39
aHU7CUkV,1403308800000,19,160,2419,184,29
aHU7CUkV,1403395200000,5,153,2538,72,20
aHU7CUkV,1403481600000,14,450,1728,184,20
aHU7CUkV,1403568000000,0,338,1158,186,3
aHU7CUkV,1403654400000,9,354,1543,143,9
aHU7CUkV,1403740800000,8,262,2824,108,33
aHU7CUkV,1403827200000,2,350,2394,176,42
aHU7CUkV,1403913600000,15,520,1749,186,28
aHU7CUkV,1404000000000,7,475,1885,176,27
aHU7CUkV,1404086400000,11,498,2192,12,3
aHU7CUkV,1404172800000,8,353,1055,35,6
aHU7CUkV,1404259200000,5,293,2044,99,43
aHU7CUkV,1404345600000,19,172,1653,84,46
aHU7CUkV,1404432000000,19,150,2908,6,22
aHU7CUkV,1404518400000,7,456,1153,53,16
aHU7CUkV,1404604800000,11,277,2747,129,41
aHU7CUkV,1404691200000,14,309,2890,167,1
aHU7CUkV,1404777600000,4,421,1908,99,6
aHU7CUkV,1404864000000,4,255,1303,191,5
aHU7CUkV,1404950400000,5,319,1491,142,8
aHU7CUkV,1405036800000,1,304,1978,142,1
aHU7CUkV,1405123200000,8,452,1026,65,22
aHU7CUkV,1405209600000,16,279,2673,129,28
aHU7CUkV,1405296000000,16,224,2244,78,5
aHU7CUkV,1405382400000,16,231,1502,161,1
aHU7CUkV,1405468800000,12,211,2135,11,0
aHU7CUkV,1405555200000,1,191,2570,80,26
aHU7CUkV,1405641600000,13,409,2814,83,40
aHU7CUkV,1405728000000,12,200,2058,84,41
aHU7CUkV,1405814400000,11,498,2997,6,26
aHU7CUkV,1405900800000,12,150,2458,175,25
aHU7CUkV,1405987200000,9,406,2765,144,23
aHU7CUkV,1406073600000,2,421,1732,29,28
aHU7CUkV,1406160000000,16,534,1140,46,44
aHU7CUkV,1406246400000,11,440,1716,121,27
aHU7CUkV,1406332800000,6,351,2780,150,27
aHU7CUkV,1406419200000,4,220,2420,34,35
aHU7CUkV,1406505600000,9,318,1425,139,43
aHU7CUkV,1406592000000,4,275,2755,124,43
aHU7CUkV,1406678400000,3,518,2977,92,32
aHU7CUkV,1406764800000,1,270,1940,94,30
aHU7CUkV,1406851200000,11,499,2138,169,24
aHU7CUkV,1406937600000,8,201,2843,174,2
aHU7CUkV,1407024000000,7,441,2024,87,4
aHU7CUkV,1407110400000,15,289,2960,2,25
aHU7CUkV,1407196800000,9,548,2402,195,28
aHU7CUkV,1407283200000,7,261,2918,188,47
aHU7CUkV,1407369600000,18,439,1007,149,33
aHU7CUkV,1407456000000,19,385,2152,21,37
aHU7CUkV,1407542400000,9,471,2483,142,11
aHU7CUkV,1407628800000,16,317,2028,18,22
aHU7CUkV,1407715200000,18,195,1963,135,4
aHU7CUkV,1407801600000,9,545,1712,150,32
aHU7CUkV,1407888000000,1,320,2179,126,30
aHU7CUkV,1407974400000,16,191,1576,84,0
aHU7CUkV,1408060800000,1,380,2718,114,49
aHU7CUkV,1408147200000,6,195,2369,83,17
aHU7CUkV,1408233600000,10,304,2860,18,14
aHU7CUkV,1408320000000,18,265,2549,26,9
aHU7CUkV,1408406400000,17,528,1262,15,1
aHU7CUkV,1408492800000,11,435,2360,86,4
aHU7CUkV,1408579200000,19,238,1976,183,47
aHU7CUkV,1408665600000,8,321,1084,161,17
aHU7CUkV,1408752000000,17,200,2244,108,32
aHU7CUkV,1408838400000,15,474,2491,111,19
aHU7CUkV,1408924800000,7,170,2871,160,38
aHU7CUkV,1409011200000,4,163,1307,55,20
aHU7CUkV,1409097600000,15,218,1381,89,35
aHU7CUkV,1409184000000,7,416,1342,122,18
aHU7CUkV,1409270400000,5,464,1578,65,6
aHU7CUkV,1409356800000,8,193,1234,94,9
aHU7CUkV,1409443200000,12,333,2562,155,7
aHU7CUkV,1409529600000,14,185,2949,113,13
aHU7CUkV,1409616000000,3,442,1945,163,4
aHU7CUkV,1409702400000,18,206,1691,63,44
aHU7CUkV,1409788800000,0,328,1249,108,49
aHU7CUkV,1409875200000,5,518,1902,90,3
aHU7CUkV,1409961600000,12,451,2905,141,29
aHU7CUkV,1410048000000,11,435,1705,32,13
aHU7CUkV,1410134400000,5,467,2403,6,0
aHU7CUkV,1410220800000,1,350,1633,149,7
aHU7CUkV,1410307200000,4,411,2978,151,16
aHU7CUkV,1410393600000,13,478,2608,142,7
aHU7CUkV,1410480000000,1,401,1602,199,20
aHU7CUkV,1410566400000,10,528,2940,159,27
aHU7CUkV,1410652800000,15,512,1206,33,22
aHU7CUkV,1410739200000,18,244,1222,170,25
aHU7CUkV,1410825600000,14,220,2273,121,7
aHU7CUkV,1410912000000,4,167,1249,160,46
aHU7CUkV,1410998400000,18,509,2617,126,2
aHU7CUkV,1411084800000,7,173,1893,171,38
aHU7CUkV,1411171200000,19,309,2017,14,9
aHU7CUkV,1411257600000,6,257,1005,145,4
aHU7CUkV,1411344000000,4,379,2036,76,31
aHU7CUkV,1411430400000,3,423,1907,147,10
aHU7CUkV,1411516800000,4,162,2891,124,34
aHU7CUkV,1411603200000,10,259,1668,43,29
aHU7CUkV,1411689600000,8,396,2604,129,42
aHU7CUkV,1411776000000,19,546,2842,116,28
aHU7CUkV,1411862400000,10,163,2195,193,46
aHU7CUkV,1411948800000,2,433,2294,48,13
aHU7CUkV,1412035200000,12,346,2694,27,19
