user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
dvn63PU9,1406851200000,7,455,2388,146,2
dvn63PU9,1406937600000,5,482,1974,97,20
dvn63PU9,1407024000000,2,479,2353,123,38
dvn63PU9,1407110400000,6,500,2837,38,40
dvn63PU9,1407196800000,14,548,2148,68,26
dvn63PU9,1407283200000,10,506,1866,85,8
dvn63PU9,1407369600000,19,498,1758,33,13
dvn63PU9,1407456000000,2,489,2965,166,25
dvn63PU9,1407542400000,12,401,2489,135,33
dvn63PU9,1407628800000,7,279,1548,73,12
dvn63PU9,1407715200000,16,539,1800,130,5
dvn63PU9,1407801600000,17,247,2425,125,46
dvn63PU9,1407888000000,19,175,1107,127,33
dvn63PU9,1407974400000,7,366,1930,11,28
dvn63PU9,1408060800000,4,375,1731,144,19
dvn63PU9,1408147200000,0,318,1670,46,31
dvn63PU9,1408233600000,1,497,2859,148,0
dvn63PU9,1408320000000,7,524,1606,71,32
dvn63PU9,1408406400000,17,503,2451,70,18
dvn63PU9,1408492800000,17,221,1970,118,16
dvn63PU9,1408579200000,4,392,1885,196,2
dvn63PU9,1408665600000,13,527,2546,154,27
dvn63PU9,1408752000000,4,431,2951,112,24
dvn63PU9,1408838400000,19,370,1749,117,38
dvn63PU9,1408924800000,0,171,1939,164,23
dvn63PU9,1409011200000,12,218,2803,173,40
dvn63PU9,1409097600000,5,316,1926,163,40
dvn63PU9,1409184000000,8,257,1168,198,7
dvn63PU9,1409270400000,4,438,1133,122,15
dvn63PU9,1409356800000,13,443,2534,70,14
dvn63PU9,1409443200000,13,232,1159,189,13
dvn63PU9,1409529600000,12,377,2548,113,16
dvn63PU9,1409616000000,17,383,1912,166,26
dvn63PU9,1409702400000,12,278,2628,65,28
dvn63PU9,1409788800000,15,498,1818,145,41
dvn63PU9,1409875200000,3,524,2356,86,46
dvn63PU9,1409961600000,0,447,2063,40,41
dvn63PU9,1410048000000,5,541,1097,106,44
dvn63PU9,1410134400000,17,541,2683,96,39
dvn63PU9,1410220800000,15,454,2530,103,14
dvn63PU9,1410307200000,5,402,1804,177,34
dvn63PU9,1410393600000,8,261,1040,139,48
dvn63PU9,1410480000000,14,430,2462,36,19
dvn63PU9,1410566400000,7,174,2706,124,23
dvn63PU9,1410652800000,16,515,1578,50,26
dvn63PU9,1410739200000,13,306,1461,101,22
dvn63PU9,1410825600000,11,440,2890,122,7
dvn63PU9,1410912000000,5,214,2542,119,10
dvn63PU9,1410998400000,4,547,1101,141,34
dvn63PU9,1411084800000,0,355,2515,71,18
dvn63PU9,1411171200000,19,537,1052,0,24
dvn63PU9,1411257600000,13,401,2774,19,13
dvn63PU9,1411344000000,15,314,2380,62,26
dvn63PU9,1411430400000,19,256,1821,169,46
dvn63PU9,1411516800000,7,444,2529,99,22
dvn63PU9,1411603200000,3,533,2901,149,31
dvn63PU9,1411689600000,11,496,1951,104,46
dvn63PU9,1411776000000,16,524,2437,176,3
dvn63PU9,1411862400000,14,219,1341,92,41
dvn63PU9,1411948800000,7,185,2435,162,14
dvn63PU9,1412035200000,2,532,2426,104,32
dvn63PU9,1412121600000,3,530,1767,69,30
dvn63PU9,1412208000000,6,331,2457,76,5
dvn63PU9,1412294400000,12,291,1567,21,40
dvn63PU9,1412380800000,8,491,2566,28,41
dvn63PU9,1412467200000,4,342,2230,98,17
dvn63PU9,1412553600000,17,265,1631,118,42
dvn63PU9,1412640000000,12,343,1746,85,19
dvn63PU9,1412726400000,15,287,2558,25,43
dvn63PU9,1412812800000,15,505,2856,153,20
dvn63PU9,1412899200000,1,435,1720,130,9
dvn63PU9,1412985600000,1,540,1207,178,12
dvn63PU9,1413072000000,12,420,2935,191,42
dvn63PU9,1413158400000,4,419,2147,15,17
dvn63PU9,1413244800000,9,156,2311,79,20
dvn63PU9,1413331200000,9,358,2779,53,22
dvn63PU9,1413417600000,9,363,1682,198,31
dvn63PU9,1413504000000,15,367,2479,101,24
dvn63PU9,1413590400000,8,510,2456,31,35
dvn63PU9,1413676800000,4,246,1431,164,10
dvn63PU9,1413763200000,5,309,2424,194,39
dvn63PU9,1413849600000,3,380,1147,21,47
dvn63PU9,1413936000000,0,429,2629,139,47
dvn63PU9,1414022400000,17,191,2963,70,48
dvn63PU9,1414108800000,16,245,1335,51,6
dvn63PU9,1414195200000,8,454,2711,121,22
dvn63PU9,1414281600000,16,339,1613,109,11
dvn63PU9,1414368000000,8,256,2995,120,2
dvn63PU9,1414454400000,15,210,1396,46,43
dvn63PU9,1414540800000,6,450,1747,180,0
dvn63PU9,1414627200000,14,303,2967,93,46
dvn63PU9,1414713600000,6,182,2969,194,46
