user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
fwgf4vUv,1414800000000,1,163,1111,183,8
fwgf4vUv,1414886400000,10,218,1177,102,20
fwgf4vUv,1414972800000,4,420,1767,79,35
fwgf4vUv,1415059200000,18,188,1497,77,22
fwgf4vUv,1415145600000,3,459,2175,182,35
fwgf4vUv,1415232000000,7,182,2360,131,28
fwgf4vUv,1415318400000,8,188,1349,131,17
fwgf4vUv,1415404800000,4,517,2317,112,2
fwgf4vUv,1415491200000,1,362,1785,157,8
fwgf4vUv,1415577600000,1,303,1130,27,0
fwgf4vUv,1415664000000,14,487,1192,147,42
fwgf4vUv,1415750400000,14,478,1178,94,38
fwgf4vUv,1415836800000,8,492,1034,130,30
fwgf4vUv,1415923200000,13,275,2342,180,17
fwgf4vUv,1416009600000,6,259,1308,83,32
fwgf4vUv,1416096000000,14,386,2660,29,25
fwgf4vUv,1416182400000,13,275,2886,162,9
fwgf4vUv,1416268800000,13,376,2821,146,33
fwgf4vUv,1416355200000,13,253,2014,125,36
fwgf4vUv,1416441600000,17,370,2545,77,47
fwgf4vUv,1416528000000,12,525,2878,104,26
fwgf4vUv,1416614400000,16,501,1662,29,31
fwgf4vUv,1416700800000,10,470,2212,75,0
fwgf4vUv,1416787200000,0,374,2218,2,25
fwgf4vUv,1416873600000,7,416,2163,170,44
fwgf4vUv,1416960000000,0,253,2238,98,28
fwgf4vUv,1417046400000,1,538,2630,109,26
fwgf4vUv,1417132800000,17,393,1075,84,41
fwgf4vUv,1417219200000,2,386,2227,156,33
fwgf4vUv,1417305600000,2,172,1862,48,6
