user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
j3yU8zYS,1396310400000,13,549,2876,144,26
j3yU8zYS,1396396800000,5,254,2237,26,40
j3yU8zYS,1396483200000,19,293,1087,71,2
j3yU8zYS,1396569600000,15,253,1619,32,9
j3yU8zYS,1396656000000,16,493,1800,192,31
j3yU8zYS,1396742400000,17,546,2084,129,39
j3yU8zYS,1396828800000,19,254,1089,5,41
j3yU8zYS,1396915200000,8,475,2545,13,43
j3yU8zYS,1397001600000,9,188,1456,55,8
j3yU8zYS,1397088000000,12,199,2864,130,38
j3yU8zYS,1397174400000,7,522,1112,19,26
j3yU8zYS,1397260800000,1,355,1645,174,25
j3yU8zYS,1397347200000,4,539,1354,10,2
j3yU8zYS,1397433600000,17,515,2536,180,30
j3yU8zYS,1397520000000,10,312,2393,103,17
j3yU8zYS,1397606400000,1,422,1824,133,3
j3yU8zYS,1397692800000,10,441,2061,136,4
j3yU8zYS,1397779200000,1,353,1485,91,38
j3yU8zYS,1397865600000,17,331,2591,67,35
j3yU8zYS,1397952000000,2,229,2001,61,34
j3yU8zYS,1398038400000,16,459,1533,44,6
j3yU8zYS,1398124800000,11,264,1286,67,38
j3yU8zYS,1398211200000,3,222,1196,16,47
j3yU8zYS,1398297600000,3,497,2388,158,36
j3yU8zYS,1398384000000,7,499,2061,134,44
j3yU8zYS,1398470400000,0,422,2799,25,16
j3yU8zYS,1398556800000,6,205,1529,179,23
j3yU8zYS,1398643200000,11,287,1778,78,6
j3yU8zYS,1398729600000,19,162,1204,63,28
j3yU8zYS,1398816000000,15,329,1042,190,30
j3yU8zYS,1398902400000,17,386,2678,184,48
j3yU8zYS,1398988800000,10,292,1375,120,16
j3yU8zYS,1399075200000,3,288,2344,153,2
j3yU8zYS,1399161600000,9,312,1373,78,41
j3yU8zYS,1399248000000,6,374,1818,29,15
j3yU8zYS,1399334400000,15,213,2897,187,19
j3yU8zYS,1399420800000,0,369,2979,198,13
j3yU8zYS,1399507200000,6,539,1425,80,10
j3yU8zYS,1399593600000,13,297,1793,131,18
j3yU8zYS,1399680000000,16,432,1810,73,26
j3yU8zYS,1399766400000,5,222,1693,157,41
j3yU8zYS,1399852800000,4,269,1967,182,41
j3yU8zYS,1399939200000,2,195,2577,0,16
j3yU8zYS,1400025600000,14,408,1377,61,39
j3yU8zYS,1400112000000,19,399,1933,97,21
j3yU8zYS,1400198400000,3,295,1373,95,36
j3yU8zYS,1400284800000,17,383,2260,182,31
j3yU8zYS,1400371200000,3,196,1929,27,46
j3yU8zYS,1400457600000,0,283,2108,159,38
j3yU8zYS,1400544000000,1,215,2757,47,16
j3yU8zYS,1400630400000,6,348,1604,190,36
j3yU8zYS,1400716800000,10,209,2239,169,43
j3yU8zYS,1400803200000,7,400,1364,141,31
j3yU8zYS,1400889600000,13,186,1968,119,0
j3yU8zYS,1400976000000,6,494,1838,52,43
j3yU8zYS,1401062400000,8,472,2230,97,4
j3yU8zYS,1401148800000,13,282,2412,72,41
j3yU8zYS,1401235200000,18,378,2613,21,36
j3yU8zYS,1401321600000,11,361,2403,146,35
j3yU8zYS,1401408000000,15,229,2330,63,33
j3yU8zYS,1401494400000,0,333,1211,140,14
j3yU8zYS,1401580800000,13,296,1078,104,31
j3yU8zYS,1401667200000,15,397,1604,12,35
j3yU8zYS,1401753600000,18,244,2776,143,20
j3yU8zYS,1401840000000,9,461,2006,67,28
j3yU8zYS,1401926400000,11,249,2087,91,2
j3yU8zYS,1402012800000,14,421,2775,81,44
j3yU8zYS,1402099200000,17,266,1869,135,38
j3yU8zYS,1402185600000,1,504,1228,183,34
j3yU8zYS,1402272000000,5,284,1748,158,29
j3yU8zYS,1402358400000,4,477,1470,45,37
