user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
jCHFXOFI,1401580800000,2,343,1274,108,12
jCHFXOFI,1401667200000,2,378,2124,56,28
jCHFXOFI,1401753600000,4,397,1548,65,36
jCHFXOFI,1401840000000,1,236,1962,16,44
jCHFXOFI,1401926400000,19,246,1089,159,20
jCHFXOFI,1402012800000,8,460,2929,11,38
jCHFXOFI,1402099200000,5,542,2560,174,20
jCHFXOFI,1402185600000,19,425,1635,41,19
jCHFXOFI,1402272000000,17,254,2940,172,40
jCHFXOFI,1402358400000,5,527,1518,45,9
jCHFXOFI,1402444800000,19,541,2234,136,43
jCHFXOFI,1402531200000,15,465,2496,42,20
jCHFXOFI,1402617600000,4,305,1146,186,8
jCHFXOFI,1402704000000,13,230,1732,155,19
jCHFXOFI,1402790400000,19,528,1485,181,4
jCHFXOFI,1402876800000,12,540,2862,156,18
jCHFXOFI,1402963200000,6,379,1522,130,11
jCHFXOFI,1403049600000,8,213,2458,196,14
jCHFXOFI,1403136000000,12,486,2546,138,32
jCHFXOFI,1403222400000,8,210,1964,109,16
jCHFXOFI,1403308800000,4,453,1775,5,6
jCHFXOFI,1403395200000,5,540,1135,150,11
jCHFXOFI,1403481600000,19,191,2372,173,44
jCHFXOFI,1403568000000,1,426,1214,182,34
jCHFXOFI,1403654400000,5,262,1766,68,12
jCHFXOFI,1403740800000,9,167,2314,33,30
jCHFXOFI,1403827200000,1,230,2227,111,17
jCHFXOFI,1403913600000,8,452,2116,79,1
jCHFXOFI,1404000000000,15,422,1873,84,40
jCHFXOFI,1404086400000,16,213,2997,134,37
jCHFXOFI,1404172800000,15,303,1123,45,16
jCHFXOFI,1404259200000,19,379,2698,2,9
jCHFXOFI,1404345600000,7,462,1092,128,40
jCHFXOFI,1404432000000,0,242,2008,112,1
jCHFXOFI,1404518400000,3,436,1503,154,45
jCHFXOFI,1404604800000,0,463,2514,176,5
jCHFXOFI,1404691200000,2,232,1150,170,25
jCHFXOFI,1404777600000,16,333,1937,7,28
jCHFXOFI,1404864000000,11,470,2679,59,35
jCHFXOFI,1404950400000,4,359,1242,171,35
jCHFXOFI,1405036800000,0,295,2913,62,5
jCHFXOFI,1405123200000,11,329,1348,137,24
jCHFXOFI,1405209600000,17,181,2901,185,0
jCHFXOFI,1405296000000,6,415,1660,198,1
jCHFXOFI,1405382400000,11,544,2666,54,17
jCHFXOFI,1405468800000,5,502,1862,34,12
jCHFXOFI,1405555200000,19,447,2649,187,30
jCHFXOFI,1405641600000,1,337,2403,85,37
jCHFXOFI,1405728000000,6,152,2448,104,6
jCHFXOFI,1405814400000,17,237,1503,142,43
jCHFXOFI,1405900800000,13,349,1763,199,0
jCHFXOFI,1405987200000,12,549,1314,168,41
jCHFXOFI,1406073600000,0,322,2546,148,12
jCHFXOFI,1406160000000,8,320,2222,48,19
jCHFXOFI,1406246400000,15,341,1351,8,32
jCHFXOFI,1406332800000,6,476,2386,99,39
jCHFXOFI,1406419200000,8,290,1513,160,30
jCHFXOFI,1406505600000,6,465,1933,83,34
jCHFXOFI,1406592000000,7,374,2044,131,44
jCHFXOFI,1406678400000,14,469,2390,166,12
jCHFXOFI,1406764800000,2,541,1582,113,28
jCHFXOFI,1406851200000,0,469,1549,178,16
jCHFXOFI,1406937600000,15,247,1151,77,17
jCHFXOFI,1407024000000,9,360,1053,173,37
jCHFXOFI,1407110400000,0,466,1252,190,45
jCHFXOFI,1407196800000,8,325,1536,27,45
jCHFXOFI,1407283200000,6,542,2511,93,26
jCHFXOFI,1407369600000,8,236,1370,148,38
jCHFXOFI,1407456000000,13,370,1965,11,11
jCHFXOFI,1407542400000,10,311,2295,143,15
jCHFXOFI,1407628800000,15,392,2423,190,10
jCHFXOFI,1407715200000,10,195,2081,81,33
jCHFXOFI,1407801600000,3,500,2295,65,4
jCHFXOFI,1407888000000,10,358,2321,157,8
jCHFXOFI,1407974400000,2,163,2939,9,42
jCHFXOFI,1408060800000,16,228,2619,198,4
jCHFXOFI,1408147200000,14,368,2865,106,24
jCHFXOFI,1408233600000,15,180,1529,159,17
jCHFXOFI,1408320000000,6,533,1997,148,5
jCHFXOFI,1408406400000,13,199,1939,26,26
jCHFXOFI,1408492800000,19,359,2317,58,8
jCHFXOFI,1408579200000,11,486,2383,101,20
jCHFXOFI,1408665600000,7,413,2398,97,47
jCHFXOFI,1408752000000,16,449,2556,105,42
jCHFXOFI,1408838400000,15,514,1087,102,49
jCHFXOFI,1408924800000,15,281,2523,162,45
jCHFXOFI,1409011200000,8,276,2448,145,18
jCHFXOFI,1409097600000,9,507,1829,15,46
jCHFXOFI,1409184000000,12,428,1473,181,33
jCHFXOFI,1409270400000,17,244,1483,100,22
jCHFXOFI,1409356800000,2,364,2250,136,0
jCHFXOFI,1409443200000,14,430,2051,20,21
