user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
mp5MKiXw,1406851200000,16,213,2286,4,21
mp5MKiXw,1406937600000,5,340,1580,110,0
mp5MKiXw,1407024000000,11,457,1225,112,34
mp5MKiXw,1407110400000,9,455,1295,18,36
mp5MKiXw,1407196800000,18,331,2730,137,17
mp5MKiXw,1407283200000,7,283,1305,119,29
mp5MKiXw,1407369600000,11,237,2907,115,7
mp5MKiXw,1407456000000,19,499,2596,177,49
mp5MKiXw,1407542400000,9,516,2958,186,48
mp5MKiXw,1407628800000,0,204,2284,179,45
mp5MKiXw,1407715200000,18,304,2008,172,34
mp5MKiXw,1407801600000,18,217,2121,131,45
mp5MKiXw,1407888000000,14,436,1641,124,48
mp5MKiXw,1407974400000,17,158,1945,161,29
mp5MKiXw,1408060800000,19,513,2470,20,49
mp5MKiXw,1408147200000,16,512,1313,34,4
mp5MKiXw,1408233600000,19,318,2823,102,0
mp5MKiXw,1408320000000,14,531,1303,9,15
mp5MKiXw,1408406400000,2,485,2873,190,43
mp5MKiXw,1408492800000,2,417,1845,142,6
mp5MKiXw,1408579200000,18,416,1736,183,4
mp5MKiXw,1408665600000,14,509,2024,136,3
mp5MKiXw,1408752000000,17,286,2018,126,5
mp5MKiXw,1408838400000,5,493,1316,5,4
mp5MKiXw,1408924800000,3,266,2776,178,14
mp5MKiXw,1409011200000,3,179,2536,87,14
mp5MKiXw,1409097600000,6,533,1941,90,23
mp5MKiXw,1409184000000,15,287,2937,78,2
mp5MKiXw,1409270400000,4,452,1095,65,47
mp5MKiXw,1409356800000,7,357,2104,36,17
mp5MKiXw,1409443200000,4,313,1432,161,14
