user_id,timestamp,miles_walked,calories_burned,calories_eaten,distance,floors
p2tXZpIi,1388534400000,2,309,1667,6,27
p2tXZpIi,1388620800000,0,545,2912,88,11
p2tXZpIi,1388707200000,18,231,2849,110,10
p2tXZpIi,1388793600000,14,454,2819,86,19
p2tXZpIi,1388880000000,2,174,2726,198,8
p2tXZpIi,1388966400000,3,448,1508,119,38
p2tXZpIi,1389052800000,4,315,2235,116,16
p2tXZpIi,1389139200000,4,261,1177,109,8
p2tXZpIi,1389225600000,13,197,2768,177,31
p2tXZpIi,1389312000000,1,298,2583,110,45
p2tXZpIi,1389398400000,18,228,2260,22,23
p2tXZpIi,1389484800000,4,357,1692,82,18
p2tXZpIi,1389571200000,19,369,1547,161,46
p2tXZpIi,1389657600000,2,478,1358,23,30
p2tXZpIi,1389744000000,13,255,2123,104,5
p2tXZpIi,1389830400000,0,222,2458,81,20
p2tXZpIi,1389916800000,14,375,2237,89,33
p2tXZpIi,1390003200000,15,429,2888,140,17
p2tXZpIi,1390089600000,16,285,1041,59,28
p2tXZpIi,1390176000000,1,154,2602,80,34
p2tXZpIi,1390262400000,6,350,2992,101,2
p2tXZpIi,1390348800000,1,253,1374,51,29
p2tXZpIi,1390435200000,3,497,2822,135,5
p2tXZpIi,1390521600000,18,310,2486,12,13
p2tXZpIi,1390608000000,2,348,1138,84,8
p2tXZpIi,1390694400000,16,366,2657,31,11
p2tXZpIi,1390780800000,4,354,2347,109,11
p2tXZpIi,1390867200000,11,373,2523,54,34
p2tXZpIi,1390953600000,18,174,1416,131,8
p2tXZpIi,1391040000000,13,275,1138,173,22
p2tXZpIi,1391126400000,5,458,2614,137,43
p2tXZpIi,1391212800000,5,485,1406,15,35
p2tXZpIi,1391299200000,8,170,2312,83,10
p2tXZpIi,1391385600000,12,371,1230,72,45
p2tXZpIi,1391472000000,0,332,2235,97,23
p2tXZpIi,1391558400000,10,402,1271,17,18
p2tXZpIi,1391644800000,0,302,2961,3,48
p2tXZpIi,1391731200000,10,248,2678,73,43
p2tXZpIi,1391817600000,7,327,1392,160,41
p2tXZpIi,1391904000000,14,396,1497,108,14
p2tXZpIi,1391990400000,7,334,1348,11,23
p2tXZpIi,1392076800000,5,201,2584,55,37
p2tXZpIi,1392163200000,4,500,1178,130,34
p2tXZpIi,1392249600000,8,512,2221,94,29
p2tXZpIi,1392336000000,9,373,2605,54,12
p2tXZpIi,1392422400000,15,505,2813,106,5
p2tXZpIi,1392508800000,3,547,2934,89,10
p2tXZpIi,1392595200000,18,435,1394,138,41
p2tXZpIi,1392681600000,17,229,2089,12,3
p2tXZpIi,1392768000000,17,540,1595,3,17
p2tXZpIi,1392854400000,7,457,2767,173,20
p2tXZpIi,1392940800000,13,450,1277,47,35
p2tXZpIi,1393027200000,5,256,1575,182,21
p2tXZpIi,1393113600000,15,498,2603,92,40
p2tXZpIi,1393200000000,9,518,1754,122,18
p2tXZpIi,1393286400000,17,368,1596,188,18
p2tXZpIi,1393372800000,3,417,2468,34,5
p2tXZpIi,1393459200000,16,210,1528,142,29
p2tXZpIi,1393545600000,0,217,2500,37,45
p2tXZpIi,1393632000000,1,215,1292,143,35
p2tXZpIi,1393718400000,14,286,1170,61,14
p2tXZpIi,1393804800000,1,207,1292,162,1
p2tXZpIi,1393891200000,17,240,1697,35,4
p2tXZpIi,1393977600000,19,406,2745,172,47
p2tXZpIi,1394064000000,13,470,2948,41,33
p2tXZpIi,1394150400000,6,269,2384,117,22
p2tXZpIi,1394236800000,19,453,2099,139,26
p2tXZpIi,1394323200000,8,378,1695,74,1
p2tXZpIi,1394409600000,1,461,1521,53,17
p2tXZpIi,1394496000000,11,424,2570,65,46
p2tXZpIi,1394582400000,2,310,1945,102,20
p2tXZpIi,1394668800000,5,515,2651,187,44
p2tXZpIi,1394755200000,19,205,2369,104,35
p2tXZpIi,1394841600000,14,198,2172,125,8
p2tXZpIi,1394928000000,15,536,1244,115,44
p2tXZpIi,1395014400000,15,151,1534,127,13
p2tXZpIi,1395100800000,18,514,2342,131,31
p2tXZpIi,1395187200000,13,376,1517,59,20
p2tXZpIi,1395273600000,16,213,2587,3,48
p2tXZpIi,1395360000000,10,238,2532,1,28
p2tXZpIi,1395446400000,11,287,2481,137,49
p2tXZpIi,1395532800000,18,293,1735,89,11
p2tXZpIi,1395619200000,10,366,1150,54,34
p2tXZpIi,1395705600000,1,353,2662,19,41
p2tXZpIi,1395792000000,8,438,1201,160,49
p2tXZpIi,1395878400000,5,439,1082,102,20
p2tXZpIi,1395964800000,14,498,2431,76,44
p2tXZpIi,1396051200000,11,212,1457,158,20
p2tXZpIi,1396137600000,14,207,2960,44,12
p2tXZpIi,1396224000000,19,469,2216,19,46
