user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
1HBUQjdu,1393632000000,19,357,569,134
1HBUQjdu,1393718400000,13,392,97,96
1HBUQjdu,1393804800000,14,126,327,149
1HBUQjdu,1393891200000,1,109,732,107
1HBUQjdu,1393977600000,0,188,288,126
1HBUQjdu,1394064000000,17,204,469,19
1HBUQjdu,1394150400000,8,103,514,59
1HBUQjdu,1394236800000,16,335,272,42
1HBUQjdu,1394323200000,12,255,352,180
1HBUQjdu,1394409600000,9,319,130,170
1HBUQjdu,1394496000000,10,379,657,96
1HBUQjdu,1394582400000,7,300,795,132
1HBUQjdu,1394668800000,17,343,628,27
1HBUQjdu,1394755200000,6,218,340,138
1HBUQjdu,1394841600000,0,300,528,174
1HBUQjdu,1394928000000,18,249,99,58
1HBUQjdu,1395014400000,8,114,132,31
1HBUQjdu,1395100800000,10,335,332,100
1HBUQjdu,1395187200000,7,135,551,147
1HBUQjdu,1395273600000,13,336,578,99
1HBUQjdu,1395360000000,3,361,494,95
1HBUQjdu,1395446400000,12,270,641,198
1HBUQjdu,1395532800000,0,227,623,15
1HBUQjdu,1395619200000,13,210,765,133
1HBUQjdu,1395705600000,16,101,240,5
1HBUQjdu,1395792000000,13,382,559,186
1HBUQjdu,1395878400000,1,270,372,29
1HBUQjdu,1395964800000,6,250,404,149
1HBUQjdu,1396051200000,13,164,308,107
1HBUQjdu,1396137600000,19,306,523,32
1HBUQjdu,1396224000000,12,338,428,172
1HBUQjdu,1396310400000,6,399,244,173
1HBUQjdu,1396396800000,16,212,392,31
1HBUQjdu,1396483200000,15,247,222,189
1HBUQjdu,1396569600000,9,240,334,142
1HBUQjdu,1396656000000,7,354,169,106
1HBUQjdu,1396742400000,6,155,113,142
1HBUQjdu,1396828800000,12,396,43,29
1HBUQjdu,1396915200000,9,324,681,112
1HBUQjdu,1397001600000,8,356,54,175
1HBUQjdu,1397088000000,18,393,617,43
1HBUQjdu,1397174400000,19,130,636,137
1HBUQjdu,1397260800000,2,309,273,182
1HBUQjdu,1397347200000,11,327,542,99
1HBUQjdu,1397433600000,12,163,603,5
1HBUQjdu,1397520000000,2,133,211,172
1HBUQjdu,1397606400000,14,174,712,21
1HBUQjdu,1397692800000,4,214,162,67
1HBUQjdu,1397779200000,15,114,780,38
1HBUQjdu,1397865600000,8,390,368,186
1HBUQjdu,1397952000000,1,256,425,196
1HBUQjdu,1398038400000,10,180,364,29
1HBUQjdu,1398124800000,4,271,347,106
1HBUQjdu,1398211200000,4,219,42,114
1HBUQjdu,1398297600000,14,122,109,90
1HBUQjdu,1398384000000,13,197,485,3
1HBUQjdu,1398470400000,13,140,309,172
1HBUQjdu,1398556800000,5,163,392,123
1HBUQjdu,1398643200000,4,248,3,105
1HBUQjdu,1398729600000,6,393,650,91
1HBUQjdu,1398816000000,10,205,414,187
1HBUQjdu,1398902400000,17,223,205,119
1HBUQjdu,1398988800000,13,363,600,58
1HBUQjdu,1399075200000,5,195,188,111
1HBUQjdu,1399161600000,8,158,522,116
1HBUQjdu,1399248000000,14,258,638,129
1HBUQjdu,1399334400000,15,303,771,61
1HBUQjdu,1399420800000,1,329,791,143
1HBUQjdu,1399507200000,14,318,400,98
1HBUQjdu,1399593600000,14,312,478,37
1HBUQjdu,1399680000000,3,239,129,196
1HBUQjdu,1399766400000,16,316,387,87
1HBUQjdu,1399852800000,10,393,749,55
1HBUQjdu,1399939200000,11,125,742,186
1HBUQjdu,1400025600000,15,109,417,67
1HBUQjdu,1400112000000,0,323,553,132
1HBUQjdu,1400198400000,6,228,254,23
1HBUQjdu,1400284800000,5,359,594,145
1HBUQjdu,1400371200000,17,215,727,152
1HBUQjdu,1400457600000,12,313,649,42
1HBUQjdu,1400544000000,13,291,263,141
1HBUQjdu,1400630400000,13,305,198,134
1HBUQjdu,1400716800000,6,138,537,36
1HBUQjdu,1400803200000,17,246,680,156
1HBUQjdu,1400889600000,5,248,700,159
1HBUQjdu,1400976000000,3,323,494,21
1HBUQjdu,1401062400000,14,313,592,36
1HBUQjdu,1401148800000,15,283,492,195
1HBUQjdu,1401235200000,3,279,399,196
1HBUQjdu,1401321600000,3,143,308,176
1HBUQjdu,1401408000000,10,118,401,111
1HBUQjdu,1401494400000,1,241,490,192
