user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
1Rftcydx,1401580800000,3,311,753,61
1Rftcydx,1401667200000,3,339,599,21
1Rftcydx,1401753600000,19,299,42,48
1Rftcydx,1401840000000,12,347,776,155
1Rftcydx,1401926400000,11,299,523,120
1Rftcydx,1402012800000,17,311,166,96
1Rftcydx,1402099200000,6,368,777,68
1Rftcydx,1402185600000,13,288,629,66
1Rftcydx,1402272000000,5,257,370,164
1Rftcydx,1402358400000,7,334,646,104
1Rftcydx,1402444800000,15,312,240,193
1Rftcydx,1402531200000,9,239,509,72
1Rftcydx,1402617600000,19,223,154,43
1Rftcydx,1402704000000,6,202,533,141
1Rftcydx,1402790400000,12,367,793,111
1Rftcydx,1402876800000,16,360,759,56
1Rftcydx,1402963200000,9,339,625,55
1Rftcydx,1403049600000,3,381,383,109
1Rftcydx,1403136000000,12,176,313,55
1Rftcydx,1403222400000,16,175,177,47
1Rftcydx,1403308800000,15,223,409,7
1Rftcydx,1403395200000,8,398,152,116
1Rftcydx,1403481600000,8,174,699,113
1Rftcydx,1403568000000,12,336,113,180
1Rftcydx,1403654400000,0,306,132,193
1Rftcydx,1403740800000,9,116,560,21
1Rftcydx,1403827200000,4,194,508,89
1Rftcydx,1403913600000,6,153,798,44
1Rftcydx,1404000000000,11,154,465,175
1Rftcydx,1404086400000,6,155,85,14
1Rftcydx,1404172800000,7,262,117,43
1Rftcydx,1404259200000,10,334,705,124
1Rftcydx,1404345600000,1,257,105,92
1Rftcydx,1404432000000,16,394,783,141
1Rftcydx,1404518400000,13,105,610,180
1Rftcydx,1404604800000,14,296,129,25
1Rftcydx,1404691200000,5,204,476,167
1Rftcydx,1404777600000,0,318,137,57
1Rftcydx,1404864000000,4,239,3,11
1Rftcydx,1404950400000,8,376,606,186
1Rftcydx,1405036800000,13,324,763,140
1Rftcydx,1405123200000,13,146,537,123
1Rftcydx,1405209600000,1,291,786,73
1Rftcydx,1405296000000,6,123,549,188
1Rftcydx,1405382400000,14,316,475,104
1Rftcydx,1405468800000,1,206,781,146
1Rftcydx,1405555200000,6,385,401,119
1Rftcydx,1405641600000,15,287,320,139
1Rftcydx,1405728000000,16,139,331,66
1Rftcydx,1405814400000,0,192,414,44
1Rftcydx,1405900800000,10,364,242,58
1Rftcydx,1405987200000,12,288,327,59
1Rftcydx,1406073600000,12,296,277,107
1Rftcydx,1406160000000,2,267,484,164
1Rftcydx,1406246400000,12,279,789,176
1Rftcydx,1406332800000,14,280,553,145
1Rftcydx,1406419200000,3,173,636,66
1Rftcydx,1406505600000,3,246,337,130
1Rftcydx,1406592000000,18,216,68,102
1Rftcydx,1406678400000,14,197,305,30
1Rftcydx,1406764800000,7,282,376,37
1Rftcydx,1406851200000,15,322,433,129
1Rftcydx,1406937600000,17,188,634,53
1Rftcydx,1407024000000,11,103,199,123
1Rftcydx,1407110400000,10,146,114,170
1Rftcydx,1407196800000,10,185,390,140
1Rftcydx,1407283200000,9,258,693,32
1Rftcydx,1407369600000,2,203,369,148
1Rftcydx,1407456000000,17,398,646,97
1Rftcydx,1407542400000,14,268,661,194
1Rftcydx,1407628800000,19,141,140,92
1Rftcydx,1407715200000,11,377,106,160
1Rftcydx,1407801600000,4,219,606,62
1Rftcydx,1407888000000,2,198,236,184
1Rftcydx,1407974400000,19,224,335,168
1Rftcydx,1408060800000,5,267,125,156
1Rftcydx,1408147200000,13,183,48,72
1Rftcydx,1408233600000,3,268,372,99
1Rftcydx,1408320000000,13,272,400,163
1Rftcydx,1408406400000,15,391,659,174
1Rftcydx,1408492800000,16,155,763,153
1Rftcydx,1408579200000,0,111,351,8
1Rftcydx,1408665600000,17,153,49,6
1Rftcydx,1408752000000,15,205,579,178
1Rftcydx,1408838400000,5,186,521,28
1Rftcydx,1408924800000,9,108,67,73
1Rftcydx,1409011200000,13,342,545,171
1Rftcydx,1409097600000,4,190,351,32
1Rftcydx,1409184000000,1,361,42,100
1Rftcydx,1409270400000,2,283,244,111
1Rftcydx,1409356800000,5,249,182,154
1Rftcydx,1409443200000,16,300,408,64
1Rftcydx,1409529600000,14,348,691,55
1Rftcydx,1409616000000,0,137,672,185
1Rftcydx,1409702400000,10,229,700,18
1Rftcydx,1409788800000,9,322,162,114
1Rftcydx,1409875200000,9,298,510,176
1Rftcydx,1409961600000,2,177,86,134
1Rftcydx,1410048000000,1,209,221,107
1Rftcydx,1410134400000,11,199,437,175
1Rftcydx,1410220800000,11,247,168,67
1Rftcydx,1410307200000,8,172,459,148
1Rftcydx,1410393600000,1,202,327,8
1Rftcydx,1410480000000,5,171,133,121
1Rftcydx,1410566400000,1,270,46,94
1Rftcydx,1410652800000,17,311,135,75
1Rftcydx,1410739200000,13,136,445,91
1Rftcydx,1410825600000,0,274,317,23
1Rftcydx,1410912000000,18,330,47,41
1Rftcydx,1410998400000,16,288,177,168
1Rftcydx,1411084800000,7,367,782,104
1Rftcydx,1411171200000,11,260,143,150
1Rftcydx,1411257600000,0,290,136,72
1Rftcydx,1411344000000,13,383,359,172
1Rftcydx,1411430400000,12,315,574,135
1Rftcydx,1411516800000,6,369,199,164
1Rftcydx,1411603200000,14,212,408,116
1Rftcydx,1411689600000,11,177,373,48
1Rftcydx,1411776000000,9,180,65,38
1Rftcydx,1411862400000,10,130,83,198
1Rftcydx,1411948800000,17,219,282,156
1Rftcydx,1412035200000,7,162,269,31
