user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
1wlTO8NB,1406851200000,2,275,143,141
1wlTO8NB,1406937600000,12,167,509,18
1wlTO8NB,1407024000000,13,115,108,75
1wlTO8NB,1407110400000,13,311,417,93
1wlTO8NB,1407196800000,3,157,522,156
1wlTO8NB,1407283200000,5,271,165,116
1wlTO8NB,1407369600000,7,123,42,162
1wlTO8NB,1407456000000,19,259,694,18
1wlTO8NB,1407542400000,16,365,192,110
1wlTO8NB,1407628800000,1,157,592,58
1wlTO8NB,1407715200000,2,204,415,101
1wlTO8NB,1407801600000,11,251,680,84
1wlTO8NB,1407888000000,9,129,508,90
1wlTO8NB,1407974400000,0,147,250,53
1wlTO8NB,1408060800000,4,278,636,144
1wlTO8NB,1408147200000,5,364,34,185
1wlTO8NB,1408233600000,13,351,480,16
1wlTO8NB,1408320000000,1,348,791,25
1wlTO8NB,1408406400000,17,121,120,116
1wlTO8NB,1408492800000,15,256,171,104
1wlTO8NB,1408579200000,1,133,614,199
1wlTO8NB,1408665600000,12,106,353,150
1wlTO8NB,1408752000000,16,124,57,147
1wlTO8NB,1408838400000,13,172,728,49
1wlTO8NB,1408924800000,6,291,306,77
1wlTO8NB,1409011200000,17,298,501,7
1wlTO8NB,1409097600000,10,103,531,33
1wlTO8NB,1409184000000,5,344,292,22
1wlTO8NB,1409270400000,6,210,391,17
1wlTO8NB,1409356800000,7,185,25,3
1wlTO8NB,1409443200000,14,226,596,104
1wlTO8NB,1409529600000,8,142,166,144
1wlTO8NB,1409616000000,3,171,42,85
1wlTO8NB,1409702400000,2,396,796,9
1wlTO8NB,1409788800000,4,296,99,118
1wlTO8NB,1409875200000,9,125,403,15
1wlTO8NB,1409961600000,2,333,421,88
1wlTO8NB,1410048000000,14,177,463,80
1wlTO8NB,1410134400000,4,247,465,81
1wlTO8NB,1410220800000,0,235,486,24
1wlTO8NB,1410307200000,9,380,291,182
1wlTO8NB,1410393600000,13,173,418,178
1wlTO8NB,1410480000000,18,201,26,71
1wlTO8NB,1410566400000,17,291,259,104
1wlTO8NB,1410652800000,15,322,769,155
1wlTO8NB,1410739200000,6,374,597,178
1wlTO8NB,1410825600000,12,232,309,195
1wlTO8NB,1410912000000,19,233,713,28
1wlTO8NB,1410998400000,1,165,444,75
1wlTO8NB,1411084800000,11,292,753,84
1wlTO8NB,1411171200000,0,296,474,161
1wlTO8NB,1411257600000,4,263,233,149
1wlTO8NB,1411344000000,7,134,441,9
1wlTO8NB,1411430400000,4,301,566,123
1wlTO8NB,1411516800000,3,166,307,167
1wlTO8NB,1411603200000,8,133,282,94
1wlTO8NB,1411689600000,2,362,638,114
1wlTO8NB,1411776000000,7,111,617,48
1wlTO8NB,1411862400000,6,134,168,13
1wlTO8NB,1411948800000,1,130,156,88
1wlTO8NB,1412035200000,17,232,241,190
1wlTO8NB,1412121600000,4,208,607,125
1wlTO8NB,1412208000000,18,212,685,132
1wlTO8NB,1412294400000,8,316,377,32
1wlTO8NB,1412380800000,3,195,709,14
1wlTO8NB,1412467200000,17,119,36,120
1wlTO8NB,1412553600000,0,113,208,40
1wlTO8NB,1412640000000,5,253,748,26
1wlTO8NB,1412726400000,5,223,230,130
1wlTO8NB,1412812800000,15,250,132,180
1wlTO8NB,1412899200000,0,118,15,104
1wlTO8NB,1412985600000,17,291,658,31
1wlTO8NB,1413072000000,9,157,155,22
1wlTO8NB,1413158400000,17,248,230,106
1wlTO8NB,1413244800000,1,326,70,130
1wlTO8NB,1413331200000,17,344,444,179
1wlTO8NB,1413417600000,19,276,580,148
1wlTO8NB,1413504000000,15,336,211,124
1wlTO8NB,1413590400000,4,200,132,77
1wlTO8NB,1413676800000,6,215,198,29
1wlTO8NB,1413763200000,10,164,687,145
1wlTO8NB,1413849600000,5,366,590,48
1wlTO8NB,1413936000000,17,381,221,178
1wlTO8NB,1414022400000,8,126,435,64
1wlTO8NB,1414108800000,10,209,233,105
1wlTO8NB,1414195200000,17,355,656,138
1wlTO8NB,1414281600000,12,308,33,192
1wlTO8NB,1414368000000,10,386,210,131
1wlTO8NB,1414454400000,18,183,192,19
1wlTO8NB,1414540800000,5,233,667,153
1wlTO8NB,1414627200000,4,201,117,71
1wlTO8NB,1414713600000,3,365,291,137
