user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
DRahMBtC,1396310400000,1,78,441,1011
DRahMBtC,1396396800000,1,78,441,1011
DRahMBtC,1396483200000,1,74,441,1011
DRahMBtC,1396569600000,1,78,441,1011
DRahMBtC,1396656000000,1,80,441,1011
DRahMBtC,1396742400000,1,77,441,1011
DRahMBtC,1396828800000,1,76,441,1011
DRahMBtC,1396915200000,1,79,441,1011
DRahMBtC,1397001600000,1,74,441,1011
DRahMBtC,1397088000000,1,73,441,1011
DRahMBtC,1397174400000,1,72,441,1011
DRahMBtC,1397260800000,1,70,441,1011
DRahMBtC,1397347200000,1,66,441,1011
DRahMBtC,1397433600000,1,65,441,1011
DRahMBtC,1397520000000,1,67,441,1011
DRahMBtC,1397606400000,1,71,441,1011
DRahMBtC,1397692800000,1,73,441,1011
DRahMBtC,1397779200000,1,73,441,1011
DRahMBtC,1397865600000,1,75,441,1011
DRahMBtC,1397952000000,1,72,441,1011
DRahMBtC,1398038400000,1,73,441,1011
DRahMBtC,1398124800000,1,72,441,1011
DRahMBtC,1398211200000,1,69,441,1011
DRahMBtC,1398297600000,1,68,441,1011
DRahMBtC,1398384000000,1,70,441,1011
DRahMBtC,1398470400000,1,69,441,1011
DRahMBtC,1398556800000,1,67,441,1011
DRahMBtC,1398643200000,1,67,441,1011
DRahMBtC,1398729600000,1,67,441,1011
DRahMBtC,1398816000000,1,66,441,1011
DRahMBtC,1398902400000,1,70,441,1011
DRahMBtC,1398988800000,1,66,441,1011
DRahMBtC,1399075200000,1,63,441,1011
DRahMBtC,1399161600000,1,63,441,1011
DRahMBtC,1399248000000,1,62,441,1011
DRahMBtC,1399334400000,1,57,441,1011
DRahMBtC,1399420800000,1,52,441,1011
DRahMBtC,1399507200000,1,50,441,1011
DRahMBtC,1399593600000,1,45,441,1011
DRahMBtC,1399680000000,1,42,441,1011
DRahMBtC,1399766400000,1,43,441,1011
DRahMBtC,1399852800000,1,40,441,1011
DRahMBtC,1399939200000,1,42,441,1011
DRahMBtC,1400025600000,1,45,441,1011
DRahMBtC,1400112000000,1,43,441,1011
DRahMBtC,1400198400000,1,39,441,1011
DRahMBtC,1400284800000,1,39,441,1011
DRahMBtC,1400371200000,1,39,441,1011
DRahMBtC,1400457600000,1,42,441,1011
DRahMBtC,1400544000000,1,37,441,1011
DRahMBtC,1400630400000,1,33,441,1011
DRahMBtC,1400716800000,1,35,441,1011
DRahMBtC,1400803200000,1,36,441,1011
DRahMBtC,1400889600000,1,33,441,1011
DRahMBtC,1400976000000,1,37,441,1011
DRahMBtC,1401062400000,1,37,441,1011
DRahMBtC,1401148800000,1,40,441,1011
DRahMBtC,1401235200000,1,41,441,1011
DRahMBtC,1401321600000,1,39,441,1011
DRahMBtC,1401408000000,1,36,441,1011
DRahMBtC,1401494400000,1,39,441,1011
DRahMBtC,1401580800000,1,41,441,1011
DRahMBtC,1401667200000,1,39,441,1011
DRahMBtC,1401753600000,1,38,441,1011
DRahMBtC,1401840000000,1,38,441,1011
DRahMBtC,1401926400000,1,35,441,1011
DRahMBtC,1402012800000,1,34,441,1011
DRahMBtC,1402099200000,1,37,441,1011
DRahMBtC,1402185600000,1,41,441,1011
DRahMBtC,1402272000000,1,44,441,1011
DRahMBtC,1402358400000,1,44,441,1011
DRahMBtC,1402444800000,1,48,441,1011
DRahMBtC,1402531200000,1,49,441,1011
DRahMBtC,1402617600000,1,47,441,1011
DRahMBtC,1402704000000,1,42,441,1011
DRahMBtC,1402790400000,1,39,441,1011
DRahMBtC,1402876800000,1,40,441,1011
DRahMBtC,1402963200000,1,39,441,1011
DRahMBtC,1403049600000,1,35,441,1011
DRahMBtC,1403136000000,1,31,441,1011
DRahMBtC,1403222400000,1,26,441,1011
DRahMBtC,1403308800000,1,27,441,1011
DRahMBtC,1403395200000,1,23,441,1011
DRahMBtC,1403481600000,1,22,441,1011
DRahMBtC,1403568000000,1,17,441,1011
DRahMBtC,1403654400000,1,18,441,1011
DRahMBtC,1403740800000,1,18,441,1011
DRahMBtC,1403827200000,1,17,441,1011
DRahMBtC,1403913600000,1,17,441,1011
DRahMBtC,1404000000000,1,21,441,1011
DRahMBtC,1404086400000,1,23,441,1011
