user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
KwGMes6o,1401580800000,5,100,284,212
KwGMes6o,1401667200000,5,95,284,212
KwGMes6o,1401753600000,5,95,284,212
KwGMes6o,1401840000000,5,94,284,212
KwGMes6o,1401926400000,5,98,284,212
KwGMes6o,1402012800000,5,100,284,212
KwGMes6o,1402099200000,5,101,284,212
KwGMes6o,1402185600000,5,97,284,212
KwGMes6o,1402272000000,5,99,284,212
KwGMes6o,1402358400000,5,98,284,212
KwGMes6o,1402444800000,5,102,284,212
KwGMes6o,1402531200000,5,99,284,212
KwGMes6o,1402617600000,5,101,284,212
KwGMes6o,1402704000000,5,101,284,212
KwGMes6o,1402790400000,5,100,284,212
KwGMes6o,1402876800000,5,103,284,212
KwGMes6o,1402963200000,5,102,284,212
KwGMes6o,1403049600000,5,101,284,212
KwGMes6o,1403136000000,5,104,284,212
KwGMes6o,1403222400000,5,99,284,212
KwGMes6o,1403308800000,5,95,284,212
KwGMes6o,1403395200000,5,92,284,212
KwGMes6o,1403481600000,5,88,284,212
KwGMes6o,1403568000000,5,85,284,212
KwGMes6o,1403654400000,5,83,284,212
KwGMes6o,1403740800000,5,81,284,212
KwGMes6o,1403827200000,5,81,284,212
KwGMes6o,1403913600000,5,78,284,212
KwGMes6o,1404000000000,5,74,284,212
KwGMes6o,1404086400000,5,74,284,212
