user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
LRImVqyY,1396310400000,4,171,136,186
LRImVqyY,1396396800000,12,393,659,102
LRImVqyY,1396483200000,11,319,313,81
LRImVqyY,1396569600000,10,229,344,111
LRImVqyY,1396656000000,11,276,758,8
LRImVqyY,1396742400000,11,114,572,90
LRImVqyY,1396828800000,6,239,402,1
LRImVqyY,1396915200000,10,102,669,170
LRImVqyY,1397001600000,16,128,90,64
LRImVqyY,1397088000000,3,382,397,15
LRImVqyY,1397174400000,1,101,635,100
LRImVqyY,1397260800000,1,244,534,182
LRImVqyY,1397347200000,15,201,736,138
LRImVqyY,1397433600000,15,275,189,122
LRImVqyY,1397520000000,16,313,599,66
LRImVqyY,1397606400000,12,311,21,41
LRImVqyY,1397692800000,13,165,467,81
LRImVqyY,1397779200000,2,397,656,77
LRImVqyY,1397865600000,6,391,308,173
LRImVqyY,1397952000000,2,114,243,110
LRImVqyY,1398038400000,13,334,682,158
LRImVqyY,1398124800000,13,110,86,173
LRImVqyY,1398211200000,4,372,210,61
LRImVqyY,1398297600000,5,118,265,67
LRImVqyY,1398384000000,10,378,479,80
LRImVqyY,1398470400000,4,151,179,50
LRImVqyY,1398556800000,18,159,609,36
LRImVqyY,1398643200000,8,220,745,116
LRImVqyY,1398729600000,9,233,717,12
LRImVqyY,1398816000000,18,297,374,15
LRImVqyY,1398902400000,13,235,86,18
LRImVqyY,1398988800000,1,235,259,46
LRImVqyY,1399075200000,1,367,95,68
LRImVqyY,1399161600000,2,313,291,69
LRImVqyY,1399248000000,11,320,519,8
LRImVqyY,1399334400000,7,154,747,57
LRImVqyY,1399420800000,13,353,426,186
LRImVqyY,1399507200000,9,154,265,150
LRImVqyY,1399593600000,7,294,716,194
LRImVqyY,1399680000000,3,312,45,30
LRImVqyY,1399766400000,14,393,712,86
LRImVqyY,1399852800000,3,145,390,70
LRImVqyY,1399939200000,7,259,641,186
LRImVqyY,1400025600000,12,132,734,171
LRImVqyY,1400112000000,6,246,430,9
LRImVqyY,1400198400000,13,118,65,68
LRImVqyY,1400284800000,19,176,649,85
LRImVqyY,1400371200000,3,379,486,92
LRImVqyY,1400457600000,0,214,417,137
LRImVqyY,1400544000000,14,323,40,70
LRImVqyY,1400630400000,15,131,122,80
LRImVqyY,1400716800000,11,381,313,70
LRImVqyY,1400803200000,1,128,156,0
LRImVqyY,1400889600000,10,101,170,151
LRImVqyY,1400976000000,16,185,711,85
LRImVqyY,1401062400000,15,272,719,144
LRImVqyY,1401148800000,1,391,666,159
LRImVqyY,1401235200000,11,128,467,106
LRImVqyY,1401321600000,9,243,175,98
LRImVqyY,1401408000000,19,297,559,184
LRImVqyY,1401494400000,19,125,602,74
LRImVqyY,1401580800000,7,319,261,31
LRImVqyY,1401667200000,13,115,428,2
LRImVqyY,1401753600000,1,334,594,7
LRImVqyY,1401840000000,1,371,347,53
LRImVqyY,1401926400000,17,112,657,7
LRImVqyY,1402012800000,14,199,591,89
LRImVqyY,1402099200000,11,385,158,55
LRImVqyY,1402185600000,3,196,113,187
LRImVqyY,1402272000000,14,398,299,195
LRImVqyY,1402358400000,9,240,241,22
LRImVqyY,1402444800000,18,385,119,129
LRImVqyY,1402531200000,7,248,450,158
LRImVqyY,1402617600000,14,344,42,33
LRImVqyY,1402704000000,14,230,467,126
LRImVqyY,1402790400000,2,370,552,81
LRImVqyY,1402876800000,2,125,746,39
LRImVqyY,1402963200000,7,354,117,43
LRImVqyY,1403049600000,11,276,729,115
LRImVqyY,1403136000000,15,273,706,157
LRImVqyY,1403222400000,13,191,140,171
LRImVqyY,1403308800000,17,226,606,149
LRImVqyY,1403395200000,13,200,719,146
LRImVqyY,1403481600000,17,379,83,110
LRImVqyY,1403568000000,12,196,439,22
LRImVqyY,1403654400000,12,146,17,193
LRImVqyY,1403740800000,3,224,427,107
LRImVqyY,1403827200000,3,197,215,152
LRImVqyY,1403913600000,10,257,225,130
LRImVqyY,1404000000000,15,182,367,166
LRImVqyY,1404086400000,5,175,406,38
LRImVqyY,1404172800000,18,106,341,83
LRImVqyY,1404259200000,15,134,585,25
LRImVqyY,1404345600000,2,208,761,40
LRImVqyY,1404432000000,16,381,246,185
LRImVqyY,1404518400000,10,207,197,60
LRImVqyY,1404604800000,16,270,424,34
LRImVqyY,1404691200000,11,131,682,113
LRImVqyY,1404777600000,12,181,447,180
LRImVqyY,1404864000000,3,150,701,131
LRImVqyY,1404950400000,7,228,197,76
LRImVqyY,1405036800000,10,254,573,157
LRImVqyY,1405123200000,6,232,93,62
LRImVqyY,1405209600000,17,375,543,30
LRImVqyY,1405296000000,19,384,36,120
LRImVqyY,1405382400000,0,128,136,75
LRImVqyY,1405468800000,2,328,340,25
LRImVqyY,1405555200000,4,120,277,116
LRImVqyY,1405641600000,9,128,681,49
LRImVqyY,1405728000000,14,256,323,160
LRImVqyY,1405814400000,18,113,489,194
LRImVqyY,1405900800000,4,146,722,184
LRImVqyY,1405987200000,0,212,414,186
LRImVqyY,1406073600000,13,178,638,71
LRImVqyY,1406160000000,15,112,684,142
LRImVqyY,1406246400000,12,127,59,23
LRImVqyY,1406332800000,3,112,402,14
LRImVqyY,1406419200000,0,303,132,5
LRImVqyY,1406505600000,15,250,391,34
LRImVqyY,1406592000000,14,161,433,36
LRImVqyY,1406678400000,0,134,431,171
LRImVqyY,1406764800000,6,133,115,186
LRImVqyY,1406851200000,12,193,298,102
LRImVqyY,1406937600000,12,243,460,11
LRImVqyY,1407024000000,14,334,656,32
LRImVqyY,1407110400000,19,226,158,152
LRImVqyY,1407196800000,6,175,8,153
LRImVqyY,1407283200000,10,256,441,159
LRImVqyY,1407369600000,17,284,148,173
LRImVqyY,1407456000000,18,255,608,156
LRImVqyY,1407542400000,11,347,739,15
LRImVqyY,1407628800000,17,335,664,99
LRImVqyY,1407715200000,15,146,641,11
LRImVqyY,1407801600000,0,205,797,167
LRImVqyY,1407888000000,8,313,625,0
LRImVqyY,1407974400000,13,236,429,107
LRImVqyY,1408060800000,1,203,689,133
LRImVqyY,1408147200000,5,364,564,191
LRImVqyY,1408233600000,9,190,622,118
LRImVqyY,1408320000000,5,283,562,116
LRImVqyY,1408406400000,1,189,622,3
LRImVqyY,1408492800000,15,252,672,181
LRImVqyY,1408579200000,7,349,617,111
LRImVqyY,1408665600000,5,123,239,181
LRImVqyY,1408752000000,2,376,305,153
LRImVqyY,1408838400000,11,250,133,67
LRImVqyY,1408924800000,3,284,539,16
LRImVqyY,1409011200000,10,257,508,91
LRImVqyY,1409097600000,4,368,503,154
LRImVqyY,1409184000000,4,361,433,192
LRImVqyY,1409270400000,6,365,475,176
