user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
MECgTyfo,1409529600000,9,139,592,118
MECgTyfo,1409616000000,14,358,627,63
MECgTyfo,1409702400000,2,357,350,112
MECgTyfo,1409788800000,10,283,488,187
MECgTyfo,1409875200000,11,376,129,127
MECgTyfo,1409961600000,16,204,613,6
MECgTyfo,1410048000000,9,341,677,41
MECgTyfo,1410134400000,16,380,273,185
MECgTyfo,1410220800000,8,305,718,105
MECgTyfo,1410307200000,7,352,529,16
MECgTyfo,1410393600000,16,114,173,46
MECgTyfo,1410480000000,18,179,315,18
MECgTyfo,1410566400000,8,256,475,115
MECgTyfo,1410652800000,15,154,788,147
MECgTyfo,1410739200000,15,392,376,119
MECgTyfo,1410825600000,4,263,432,63
MECgTyfo,1410912000000,11,152,216,101
MECgTyfo,1410998400000,7,127,383,158
MECgTyfo,1411084800000,0,289,624,0
MECgTyfo,1411171200000,18,216,461,91
MECgTyfo,1411257600000,4,211,249,65
MECgTyfo,1411344000000,14,137,178,36
MECgTyfo,1411430400000,15,330,472,52
MECgTyfo,1411516800000,16,340,18,94
MECgTyfo,1411603200000,19,312,508,68
MECgTyfo,1411689600000,10,177,43,162
MECgTyfo,1411776000000,8,302,52,9
MECgTyfo,1411862400000,17,332,321,20
MECgTyfo,1411948800000,2,268,451,143
MECgTyfo,1412035200000,9,288,652,26
