user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
RQrspikk,1393632000000,18,321,244,179
RQrspikk,1393718400000,18,333,15,181
RQrspikk,1393804800000,11,358,626,45
RQrspikk,1393891200000,14,184,641,141
RQrspikk,1393977600000,11,101,588,3
RQrspikk,1394064000000,3,196,311,125
RQrspikk,1394150400000,7,348,303,50
RQrspikk,1394236800000,7,311,408,82
RQrspikk,1394323200000,5,396,50,144
RQrspikk,1394409600000,16,180,381,160
RQrspikk,1394496000000,0,115,20,146
RQrspikk,1394582400000,5,325,676,59
RQrspikk,1394668800000,16,174,303,73
RQrspikk,1394755200000,12,289,529,30
RQrspikk,1394841600000,3,361,50,43
RQrspikk,1394928000000,11,356,87,122
RQrspikk,1395014400000,6,219,569,139
RQrspikk,1395100800000,1,302,539,135
RQrspikk,1395187200000,4,294,561,68
RQrspikk,1395273600000,2,109,133,161
RQrspikk,1395360000000,19,262,649,133
RQrspikk,1395446400000,15,140,166,83
RQrspikk,1395532800000,9,182,185,105
RQrspikk,1395619200000,2,174,14,31
RQrspikk,1395705600000,4,395,724,17
RQrspikk,1395792000000,8,345,482,24
RQrspikk,1395878400000,16,162,332,147
RQrspikk,1395964800000,1,221,564,133
RQrspikk,1396051200000,13,317,702,131
RQrspikk,1396137600000,19,139,72,87
RQrspikk,1396224000000,14,268,472,168
RQrspikk,1396310400000,15,256,27,133
RQrspikk,1396396800000,12,178,313,157
RQrspikk,1396483200000,7,107,86,10
RQrspikk,1396569600000,12,315,757,22
RQrspikk,1396656000000,19,266,479,120
RQrspikk,1396742400000,3,143,368,169
RQrspikk,1396828800000,13,349,143,63
RQrspikk,1396915200000,14,395,401,49
RQrspikk,1397001600000,6,217,516,124
RQrspikk,1397088000000,17,353,762,35
RQrspikk,1397174400000,11,256,689,170
RQrspikk,1397260800000,3,331,214,114
RQrspikk,1397347200000,9,250,180,60
RQrspikk,1397433600000,10,218,435,102
RQrspikk,1397520000000,3,364,207,114
RQrspikk,1397606400000,5,347,88,159
RQrspikk,1397692800000,10,320,152,34
RQrspikk,1397779200000,12,191,486,44
RQrspikk,1397865600000,12,118,479,153
RQrspikk,1397952000000,0,391,637,169
RQrspikk,1398038400000,6,339,390,80
RQrspikk,1398124800000,12,185,436,183
RQrspikk,1398211200000,15,130,304,119
RQrspikk,1398297600000,13,376,588,69
RQrspikk,1398384000000,3,366,222,47
RQrspikk,1398470400000,11,171,46,172
RQrspikk,1398556800000,5,336,470,111
RQrspikk,1398643200000,18,274,727,33
RQrspikk,1398729600000,14,390,291,134
RQrspikk,1398816000000,15,113,697,160
