user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
WYklvVNc,1388534400000,4,6,456,220
WYklvVNc,1388620800000,4,5,456,220
WYklvVNc,1388707200000,4,9,456,220
WYklvVNc,1388793600000,4,9,456,220
WYklvVNc,1388880000000,4,4,456,220
WYklvVNc,1388966400000,4,8,456,220
WYklvVNc,1389052800000,4,5,456,220
WYklvVNc,1389139200000,4,0,456,220
WYklvVNc,1389225600000,4,4,456,220
WYklvVNc,1389312000000,4,3,456,220
WYklvVNc,1389398400000,4,1,456,220
WYklvVNc,1389484800000,4,1,456,220
WYklvVNc,1389571200000,4,5,456,220
WYklvVNc,1389657600000,4,7,456,220
WYklvVNc,1389744000000,4,4,456,220
WYklvVNc,1389830400000,4,2,456,220
WYklvVNc,1389916800000,4,2,456,220
WYklvVNc,1390003200000,4,3,456,220
WYklvVNc,1390089600000,4,4,456,220
WYklvVNc,1390176000000,4,7,456,220
WYklvVNc,1390262400000,4,10,456,220
WYklvVNc,1390348800000,4,10,456,220
WYklvVNc,1390435200000,4,12,456,220
WYklvVNc,1390521600000,4,11,456,220
WYklvVNc,1390608000000,4,14,456,220
WYklvVNc,1390694400000,4,16,456,220
WYklvVNc,1390780800000,4,17,456,220
WYklvVNc,1390867200000,4,14,456,220
WYklvVNc,1390953600000,4,18,456,220
WYklvVNc,1391040000000,4,13,456,220
WYklvVNc,1391126400000,4,14,456,220
