user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
Wg22EkGK,1401580800000,6,250,707,183
Wg22EkGK,1401667200000,16,222,471,33
Wg22EkGK,1401753600000,8,107,260,11
Wg22EkGK,1401840000000,0,154,604,62
Wg22EkGK,1401926400000,18,130,553,111
Wg22EkGK,1402012800000,9,388,194,121
Wg22EkGK,1402099200000,0,285,414,162
Wg22EkGK,1402185600000,19,124,27,76
Wg22EkGK,1402272000000,1,190,295,98
Wg22EkGK,1402358400000,18,266,540,73
Wg22EkGK,1402444800000,5,320,504,141
Wg22EkGK,1402531200000,10,250,16,44
Wg22EkGK,1402617600000,12,251,562,30
Wg22EkGK,1402704000000,15,256,702,69
Wg22EkGK,1402790400000,2,291,531,85
Wg22EkGK,1402876800000,17,204,630,79
Wg22EkGK,1402963200000,9,344,615,27
Wg22EkGK,1403049600000,16,182,314,15
Wg22EkGK,1403136000000,3,106,299,80
Wg22EkGK,1403222400000,17,180,96,34
Wg22EkGK,1403308800000,3,279,106,175
Wg22EkGK,1403395200000,7,325,139,172
Wg22EkGK,1403481600000,16,358,451,99
Wg22EkGK,1403568000000,12,228,16,152
Wg22EkGK,1403654400000,14,323,280,92
Wg22EkGK,1403740800000,16,300,702,54
Wg22EkGK,1403827200000,16,151,749,35
Wg22EkGK,1403913600000,3,199,727,32
Wg22EkGK,1404000000000,5,116,245,49
Wg22EkGK,1404086400000,5,107,75,94
Wg22EkGK,1404172800000,0,151,15,127
Wg22EkGK,1404259200000,18,151,14,27
Wg22EkGK,1404345600000,17,192,682,131
Wg22EkGK,1404432000000,3,224,19,189
Wg22EkGK,1404518400000,9,213,525,79
Wg22EkGK,1404604800000,3,161,383,149
Wg22EkGK,1404691200000,2,245,214,140
Wg22EkGK,1404777600000,5,284,81,198
Wg22EkGK,1404864000000,16,123,451,178
Wg22EkGK,1404950400000,0,307,476,1
Wg22EkGK,1405036800000,1,297,29,148
Wg22EkGK,1405123200000,13,389,35,127
Wg22EkGK,1405209600000,12,323,357,101
Wg22EkGK,1405296000000,19,351,646,24
Wg22EkGK,1405382400000,16,105,352,188
Wg22EkGK,1405468800000,17,108,690,69
Wg22EkGK,1405555200000,6,352,156,122
Wg22EkGK,1405641600000,11,187,685,167
Wg22EkGK,1405728000000,7,278,376,196
Wg22EkGK,1405814400000,2,111,236,24
Wg22EkGK,1405900800000,7,261,508,9
Wg22EkGK,1405987200000,10,298,504,76
Wg22EkGK,1406073600000,6,131,438,96
Wg22EkGK,1406160000000,13,285,154,85
Wg22EkGK,1406246400000,7,355,281,120
Wg22EkGK,1406332800000,5,277,165,100
Wg22EkGK,1406419200000,12,245,456,123
Wg22EkGK,1406505600000,11,195,278,88
Wg22EkGK,1406592000000,15,303,59,187
Wg22EkGK,1406678400000,17,356,466,20
Wg22EkGK,1406764800000,7,273,618,103
Wg22EkGK,1406851200000,19,221,201,42
Wg22EkGK,1406937600000,13,176,109,103
Wg22EkGK,1407024000000,7,391,484,194
Wg22EkGK,1407110400000,11,240,715,161
Wg22EkGK,1407196800000,4,233,247,19
Wg22EkGK,1407283200000,16,251,393,195
Wg22EkGK,1407369600000,3,367,464,23
Wg22EkGK,1407456000000,15,395,141,193
Wg22EkGK,1407542400000,9,155,788,21
Wg22EkGK,1407628800000,1,348,640,99
Wg22EkGK,1407715200000,10,158,65,41
Wg22EkGK,1407801600000,3,362,538,166
Wg22EkGK,1407888000000,0,163,315,112
Wg22EkGK,1407974400000,18,330,72,124
Wg22EkGK,1408060800000,9,196,360,115
Wg22EkGK,1408147200000,19,136,292,168
Wg22EkGK,1408233600000,6,363,665,117
Wg22EkGK,1408320000000,4,132,373,12
Wg22EkGK,1408406400000,19,202,387,72
Wg22EkGK,1408492800000,10,379,488,109
Wg22EkGK,1408579200000,4,116,597,1
Wg22EkGK,1408665600000,12,363,324,197
Wg22EkGK,1408752000000,0,335,655,46
Wg22EkGK,1408838400000,15,363,317,156
Wg22EkGK,1408924800000,10,134,526,5
Wg22EkGK,1409011200000,9,328,84,49
Wg22EkGK,1409097600000,18,385,400,37
Wg22EkGK,1409184000000,7,309,733,20
Wg22EkGK,1409270400000,9,327,407,58
Wg22EkGK,1409356800000,14,225,323,25
Wg22EkGK,1409443200000,14,195,197,199
Wg22EkGK,1409529600000,6,181,764,183
Wg22EkGK,1409616000000,9,124,771,163
Wg22EkGK,1409702400000,13,164,614,1
Wg22EkGK,1409788800000,0,229,726,142
Wg22EkGK,1409875200000,13,171,480,174
Wg22EkGK,1409961600000,15,231,117,38
Wg22EkGK,1410048000000,3,363,672,111
Wg22EkGK,1410134400000,19,361,485,150
Wg22EkGK,1410220800000,10,335,609,185
Wg22EkGK,1410307200000,12,284,257,147
Wg22EkGK,1410393600000,17,259,48,169
Wg22EkGK,1410480000000,6,317,67,30
Wg22EkGK,1410566400000,13,125,9,135
Wg22EkGK,1410652800000,3,324,12,178
Wg22EkGK,1410739200000,17,301,682,198
Wg22EkGK,1410825600000,13,130,578,71
Wg22EkGK,1410912000000,9,374,191,76
Wg22EkGK,1410998400000,15,267,61,112
Wg22EkGK,1411084800000,12,259,696,142
Wg22EkGK,1411171200000,9,159,616,23
Wg22EkGK,1411257600000,14,373,500,46
Wg22EkGK,1411344000000,3,206,148,143
Wg22EkGK,1411430400000,2,212,657,79
Wg22EkGK,1411516800000,5,215,201,199
Wg22EkGK,1411603200000,4,398,342,64
Wg22EkGK,1411689600000,3,201,234,182
Wg22EkGK,1411776000000,2,153,277,28
Wg22EkGK,1411862400000,0,346,58,197
Wg22EkGK,1411948800000,0,239,70,170
Wg22EkGK,1412035200000,19,298,410,22
Wg22EkGK,1412121600000,16,171,376,47
Wg22EkGK,1412208000000,8,137,652,138
Wg22EkGK,1412294400000,16,173,121,13
Wg22EkGK,1412380800000,3,345,758,74
Wg22EkGK,1412467200000,16,157,98,130
Wg22EkGK,1412553600000,18,267,581,125
Wg22EkGK,1412640000000,0,333,403,79
Wg22EkGK,1412726400000,5,331,768,177
Wg22EkGK,1412812800000,7,378,174,197
Wg22EkGK,1412899200000,14,179,312,22
Wg22EkGK,1412985600000,10,131,342,65
Wg22EkGK,1413072000000,0,220,305,170
Wg22EkGK,1413158400000,7,380,642,75
Wg22EkGK,1413244800000,12,108,483,54
Wg22EkGK,1413331200000,11,274,779,98
Wg22EkGK,1413417600000,2,314,133,141
Wg22EkGK,1413504000000,8,259,624,182
Wg22EkGK,1413590400000,13,124,747,124
Wg22EkGK,1413676800000,11,333,114,101
Wg22EkGK,1413763200000,17,207,790,39
Wg22EkGK,1413849600000,12,260,545,193
Wg22EkGK,1413936000000,19,226,376,149
Wg22EkGK,1414022400000,16,102,314,195
Wg22EkGK,1414108800000,3,371,216,161
Wg22EkGK,1414195200000,10,343,18,15
Wg22EkGK,1414281600000,18,161,218,117
Wg22EkGK,1414368000000,10,117,764,58
Wg22EkGK,1414454400000,4,230,133,6
Wg22EkGK,1414540800000,17,178,576,143
Wg22EkGK,1414627200000,15,291,799,167
Wg22EkGK,1414713600000,14,259,382,118
Wg22EkGK,1414800000000,0,363,783,199
Wg22EkGK,1414886400000,19,310,54,122
Wg22EkGK,1414972800000,14,376,190,180
Wg22EkGK,1415059200000,16,217,375,96
Wg22EkGK,1415145600000,4,306,413,182
Wg22EkGK,1415232000000,16,144,628,194
Wg22EkGK,1415318400000,4,316,17,198
Wg22EkGK,1415404800000,13,142,57,192
Wg22EkGK,1415491200000,19,174,716,178
Wg22EkGK,1415577600000,2,115,510,47
Wg22EkGK,1415664000000,16,304,33,160
Wg22EkGK,1415750400000,9,153,516,14
Wg22EkGK,1415836800000,15,278,225,125
Wg22EkGK,1415923200000,16,362,90,153
Wg22EkGK,1416009600000,19,244,34,51
Wg22EkGK,1416096000000,11,339,537,155
Wg22EkGK,1416182400000,18,377,63,77
Wg22EkGK,1416268800000,15,294,534,4
Wg22EkGK,1416355200000,3,370,736,182
Wg22EkGK,1416441600000,3,206,373,112
Wg22EkGK,1416528000000,8,212,39,173
Wg22EkGK,1416614400000,11,365,35,142
Wg22EkGK,1416700800000,1,232,799,82
Wg22EkGK,1416787200000,10,132,179,50
Wg22EkGK,1416873600000,12,279,703,81
Wg22EkGK,1416960000000,19,233,120,80
Wg22EkGK,1417046400000,9,394,10,108
Wg22EkGK,1417132800000,11,158,684,112
Wg22EkGK,1417219200000,11,282,554,8
Wg22EkGK,1417305600000,19,331,1,26
