user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
cOS9[xhY,1393632000000,15,209,305,8
cOS9[xhY,1393718400000,2,119,692,175
cOS9[xhY,1393804800000,14,171,645,99
cOS9[xhY,1393891200000,13,232,218,49
cOS9[xhY,1393977600000,1,120,634,115
cOS9[xhY,1394064000000,10,221,602,18
cOS9[xhY,1394150400000,1,151,702,111
cOS9[xhY,1394236800000,17,270,388,161
cOS9[xhY,1394323200000,0,371,713,18
cOS9[xhY,1394409600000,6,390,264,18
cOS9[xhY,1394496000000,2,220,24,123
cOS9[xhY,1394582400000,11,222,482,154
cOS9[xhY,1394668800000,0,226,635,29
cOS9[xhY,1394755200000,3,227,542,100
cOS9[xhY,1394841600000,17,367,657,28
cOS9[xhY,1394928000000,15,288,494,56
cOS9[xhY,1395014400000,15,101,716,83
cOS9[xhY,1395100800000,0,218,166,166
cOS9[xhY,1395187200000,8,126,537,60
cOS9[xhY,1395273600000,3,154,50,19
cOS9[xhY,1395360000000,1,250,726,81
cOS9[xhY,1395446400000,10,389,587,97
cOS9[xhY,1395532800000,10,190,175,157
cOS9[xhY,1395619200000,14,272,759,136
cOS9[xhY,1395705600000,18,242,533,77
cOS9[xhY,1395792000000,1,365,331,5
cOS9[xhY,1395878400000,15,376,550,192
cOS9[xhY,1395964800000,13,147,667,167
cOS9[xhY,1396051200000,1,259,144,191
cOS9[xhY,1396137600000,9,107,49,48
cOS9[xhY,1396224000000,13,100,603,193
cOS9[xhY,1396310400000,11,354,418,60
cOS9[xhY,1396396800000,19,178,353,155
cOS9[xhY,1396483200000,19,253,284,99
cOS9[xhY,1396569600000,15,299,333,37
cOS9[xhY,1396656000000,15,349,711,191
cOS9[xhY,1396742400000,10,178,386,191
cOS9[xhY,1396828800000,2,140,326,174
cOS9[xhY,1396915200000,6,362,304,140
cOS9[xhY,1397001600000,8,328,263,8
cOS9[xhY,1397088000000,13,328,158,118
cOS9[xhY,1397174400000,17,233,183,111
cOS9[xhY,1397260800000,19,118,338,14
cOS9[xhY,1397347200000,6,371,283,178
cOS9[xhY,1397433600000,0,208,324,3
cOS9[xhY,1397520000000,13,122,446,18
cOS9[xhY,1397606400000,13,119,232,16
cOS9[xhY,1397692800000,14,332,633,146
cOS9[xhY,1397779200000,7,205,542,24
cOS9[xhY,1397865600000,14,340,464,166
cOS9[xhY,1397952000000,12,389,461,175
cOS9[xhY,1398038400000,14,315,109,195
cOS9[xhY,1398124800000,3,137,329,84
cOS9[xhY,1398211200000,18,343,16,44
cOS9[xhY,1398297600000,13,167,98,1
cOS9[xhY,1398384000000,12,100,411,123
cOS9[xhY,1398470400000,2,161,530,48
cOS9[xhY,1398556800000,12,310,88,75
cOS9[xhY,1398643200000,13,309,320,177
cOS9[xhY,1398729600000,5,357,627,16
cOS9[xhY,1398816000000,4,207,185,111
cOS9[xhY,1398902400000,12,311,759,79
cOS9[xhY,1398988800000,6,396,340,35
cOS9[xhY,1399075200000,13,396,214,35
cOS9[xhY,1399161600000,11,196,399,2
cOS9[xhY,1399248000000,14,285,580,3
cOS9[xhY,1399334400000,14,293,518,109
cOS9[xhY,1399420800000,2,121,486,107
cOS9[xhY,1399507200000,0,276,415,119
cOS9[xhY,1399593600000,5,393,265,4
cOS9[xhY,1399680000000,14,314,293,74
cOS9[xhY,1399766400000,10,313,197,27
cOS9[xhY,1399852800000,16,352,694,91
cOS9[xhY,1399939200000,14,382,679,186
cOS9[xhY,1400025600000,17,140,112,166
cOS9[xhY,1400112000000,1,218,40,58
cOS9[xhY,1400198400000,10,235,595,86
cOS9[xhY,1400284800000,6,219,333,102
cOS9[xhY,1400371200000,1,242,559,184
cOS9[xhY,1400457600000,2,360,437,151
cOS9[xhY,1400544000000,6,275,654,129
cOS9[xhY,1400630400000,10,342,781,103
cOS9[xhY,1400716800000,19,261,691,174
