user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
cXdJwekr,1412121600000,18,295,637,197
cXdJwekr,1412208000000,2,132,252,7
cXdJwekr,1412294400000,15,284,118,131
cXdJwekr,1412380800000,10,384,241,64
cXdJwekr,1412467200000,10,104,786,66
cXdJwekr,1412553600000,13,395,330,165
cXdJwekr,1412640000000,4,239,121,56
cXdJwekr,1412726400000,9,298,497,67
cXdJwekr,1412812800000,2,346,562,72
cXdJwekr,1412899200000,2,196,332,199
cXdJwekr,1412985600000,12,264,712,192
cXdJwekr,1413072000000,4,227,75,187
cXdJwekr,1413158400000,4,325,789,171
cXdJwekr,1413244800000,8,345,84,199
cXdJwekr,1413331200000,3,294,726,90
cXdJwekr,1413417600000,0,390,407,21
cXdJwekr,1413504000000,16,290,706,4
cXdJwekr,1413590400000,10,228,786,30
cXdJwekr,1413676800000,14,186,554,177
cXdJwekr,1413763200000,17,100,791,45
cXdJwekr,1413849600000,0,354,180,130
cXdJwekr,1413936000000,5,194,770,143
cXdJwekr,1414022400000,5,134,281,195
cXdJwekr,1414108800000,9,328,549,131
cXdJwekr,1414195200000,4,332,294,88
cXdJwekr,1414281600000,0,121,149,26
cXdJwekr,1414368000000,18,268,419,107
cXdJwekr,1414454400000,12,387,657,168
cXdJwekr,1414540800000,2,349,306,171
cXdJwekr,1414627200000,6,270,332,8
cXdJwekr,1414713600000,5,210,4,180
cXdJwekr,1414800000000,5,308,456,78
cXdJwekr,1414886400000,4,273,195,43
cXdJwekr,1414972800000,19,106,433,116
cXdJwekr,1415059200000,19,211,483,142
cXdJwekr,1415145600000,15,341,241,132
cXdJwekr,1415232000000,4,207,382,70
cXdJwekr,1415318400000,5,329,538,85
cXdJwekr,1415404800000,0,149,569,122
cXdJwekr,1415491200000,2,145,526,76
cXdJwekr,1415577600000,15,112,628,80
cXdJwekr,1415664000000,13,153,271,10
cXdJwekr,1415750400000,5,106,83,57
cXdJwekr,1415836800000,5,203,794,144
cXdJwekr,1415923200000,4,192,112,52
cXdJwekr,1416009600000,12,199,221,159
cXdJwekr,1416096000000,8,303,368,81
cXdJwekr,1416182400000,11,230,513,86
cXdJwekr,1416268800000,10,108,684,27
cXdJwekr,1416355200000,14,347,256,28
cXdJwekr,1416441600000,4,222,85,185
cXdJwekr,1416528000000,18,101,442,87
cXdJwekr,1416614400000,13,146,99,142
cXdJwekr,1416700800000,3,188,715,156
cXdJwekr,1416787200000,12,376,380,59
cXdJwekr,1416873600000,6,169,611,88
cXdJwekr,1416960000000,13,327,430,101
cXdJwekr,1417046400000,11,143,475,181
cXdJwekr,1417132800000,10,271,643,0
cXdJwekr,1417219200000,7,217,174,13
cXdJwekr,1417305600000,2,264,56,159
