user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
eLq0M30y,1393632000000,13,181,384,58
eLq0M30y,1393718400000,8,127,737,96
eLq0M30y,1393804800000,16,322,113,94
eLq0M30y,1393891200000,9,182,676,16
eLq0M30y,1393977600000,2,161,388,151
eLq0M30y,1394064000000,10,123,608,90
eLq0M30y,1394150400000,4,338,536,48
eLq0M30y,1394236800000,13,146,630,104
eLq0M30y,1394323200000,6,245,315,34
eLq0M30y,1394409600000,4,382,169,114
eLq0M30y,1394496000000,10,385,374,122
eLq0M30y,1394582400000,8,291,156,158
eLq0M30y,1394668800000,10,239,610,68
eLq0M30y,1394755200000,9,195,655,191
eLq0M30y,1394841600000,19,132,9,167
eLq0M30y,1394928000000,3,296,66,53
eLq0M30y,1395014400000,3,378,169,96
eLq0M30y,1395100800000,17,397,579,114
eLq0M30y,1395187200000,15,373,530,98
eLq0M30y,1395273600000,12,311,17,120
eLq0M30y,1395360000000,8,344,690,26
eLq0M30y,1395446400000,7,131,738,183
eLq0M30y,1395532800000,2,170,627,34
eLq0M30y,1395619200000,9,203,118,135
eLq0M30y,1395705600000,16,259,215,150
eLq0M30y,1395792000000,17,114,112,88
eLq0M30y,1395878400000,2,225,461,9
eLq0M30y,1395964800000,2,289,1,122
eLq0M30y,1396051200000,11,197,234,78
eLq0M30y,1396137600000,12,265,623,47
eLq0M30y,1396224000000,15,368,117,162
eLq0M30y,1396310400000,9,390,587,49
eLq0M30y,1396396800000,16,161,375,6
eLq0M30y,1396483200000,4,240,390,87
eLq0M30y,1396569600000,5,268,231,102
eLq0M30y,1396656000000,17,382,116,127
eLq0M30y,1396742400000,5,385,277,3
eLq0M30y,1396828800000,16,319,647,191
eLq0M30y,1396915200000,1,258,397,150
eLq0M30y,1397001600000,16,270,63,13
eLq0M30y,1397088000000,12,306,230,29
eLq0M30y,1397174400000,10,109,352,175
eLq0M30y,1397260800000,5,292,551,152
eLq0M30y,1397347200000,2,243,528,8
eLq0M30y,1397433600000,16,251,201,177
eLq0M30y,1397520000000,2,299,460,36
eLq0M30y,1397606400000,2,202,137,172
eLq0M30y,1397692800000,14,270,709,160
eLq0M30y,1397779200000,6,299,38,37
eLq0M30y,1397865600000,4,124,690,36
eLq0M30y,1397952000000,3,200,243,165
eLq0M30y,1398038400000,12,273,48,165
eLq0M30y,1398124800000,1,361,445,95
eLq0M30y,1398211200000,9,282,358,43
eLq0M30y,1398297600000,0,275,326,112
eLq0M30y,1398384000000,0,130,456,174
eLq0M30y,1398470400000,2,130,347,48
eLq0M30y,1398556800000,3,370,491,24
eLq0M30y,1398643200000,19,134,303,147
eLq0M30y,1398729600000,6,264,420,194
eLq0M30y,1398816000000,10,250,620,149
eLq0M30y,1398902400000,4,261,425,189
eLq0M30y,1398988800000,10,134,432,148
eLq0M30y,1399075200000,4,266,584,191
eLq0M30y,1399161600000,11,357,209,80
eLq0M30y,1399248000000,7,206,471,77
eLq0M30y,1399334400000,4,370,162,109
eLq0M30y,1399420800000,18,199,410,2
eLq0M30y,1399507200000,2,138,219,47
eLq0M30y,1399593600000,7,378,670,105
eLq0M30y,1399680000000,12,146,368,190
eLq0M30y,1399766400000,3,227,716,134
eLq0M30y,1399852800000,15,261,388,2
eLq0M30y,1399939200000,1,332,15,61
eLq0M30y,1400025600000,0,398,556,133
eLq0M30y,1400112000000,10,242,494,178
eLq0M30y,1400198400000,16,325,334,91
eLq0M30y,1400284800000,4,322,564,48
eLq0M30y,1400371200000,8,208,254,166
eLq0M30y,1400457600000,11,209,404,109
eLq0M30y,1400544000000,14,278,382,28
eLq0M30y,1400630400000,18,122,17,183
eLq0M30y,1400716800000,17,167,180,77
eLq0M30y,1400803200000,6,197,547,5
eLq0M30y,1400889600000,4,358,769,95
eLq0M30y,1400976000000,3,310,382,137
eLq0M30y,1401062400000,9,130,381,160
eLq0M30y,1401148800000,3,252,117,47
eLq0M30y,1401235200000,5,302,428,68
eLq0M30y,1401321600000,14,149,315,41
eLq0M30y,1401408000000,3,214,560,144
eLq0M30y,1401494400000,14,236,130,135
eLq0M30y,1401580800000,8,376,549,166
eLq0M30y,1401667200000,5,339,337,28
eLq0M30y,1401753600000,0,398,573,194
eLq0M30y,1401840000000,14,115,30,195
eLq0M30y,1401926400000,1,171,520,128
eLq0M30y,1402012800000,19,266,531,134
eLq0M30y,1402099200000,12,358,710,86
eLq0M30y,1402185600000,16,215,578,97
eLq0M30y,1402272000000,2,125,240,120
eLq0M30y,1402358400000,1,113,720,48
eLq0M30y,1402444800000,19,309,550,66
eLq0M30y,1402531200000,13,121,611,61
eLq0M30y,1402617600000,14,214,421,157
eLq0M30y,1402704000000,0,177,312,11
eLq0M30y,1402790400000,2,279,798,71
eLq0M30y,1402876800000,16,253,90,73
eLq0M30y,1402963200000,0,155,456,161
eLq0M30y,1403049600000,15,246,639,171
eLq0M30y,1403136000000,11,388,495,39
eLq0M30y,1403222400000,16,275,212,2
eLq0M30y,1403308800000,7,391,676,143
eLq0M30y,1403395200000,7,376,562,80
eLq0M30y,1403481600000,16,166,410,188
eLq0M30y,1403568000000,1,192,216,110
eLq0M30y,1403654400000,7,386,577,4
eLq0M30y,1403740800000,15,238,158,51
eLq0M30y,1403827200000,12,369,211,172
eLq0M30y,1403913600000,4,366,53,71
eLq0M30y,1404000000000,8,395,628,69
eLq0M30y,1404086400000,3,159,87,59
eLq0M30y,1404172800000,8,240,211,13
eLq0M30y,1404259200000,19,333,546,189
eLq0M30y,1404345600000,19,252,59,44
eLq0M30y,1404432000000,3,131,233,100
eLq0M30y,1404518400000,2,262,92,110
eLq0M30y,1404604800000,9,134,616,109
eLq0M30y,1404691200000,11,130,625,103
eLq0M30y,1404777600000,18,219,427,89
eLq0M30y,1404864000000,14,358,610,20
eLq0M30y,1404950400000,7,143,798,143
eLq0M30y,1405036800000,5,118,748,188
eLq0M30y,1405123200000,14,134,449,20
eLq0M30y,1405209600000,15,286,678,119
eLq0M30y,1405296000000,3,118,627,83
eLq0M30y,1405382400000,0,270,440,52
eLq0M30y,1405468800000,14,207,501,76
eLq0M30y,1405555200000,11,281,623,38
eLq0M30y,1405641600000,6,339,706,23
eLq0M30y,1405728000000,12,375,596,118
eLq0M30y,1405814400000,1,327,164,181
eLq0M30y,1405900800000,17,284,25,172
eLq0M30y,1405987200000,13,177,250,82
eLq0M30y,1406073600000,0,192,280,62
eLq0M30y,1406160000000,5,276,238,110
eLq0M30y,1406246400000,13,329,135,166
eLq0M30y,1406332800000,12,246,109,119
eLq0M30y,1406419200000,0,309,370,26
eLq0M30y,1406505600000,19,136,643,50
eLq0M30y,1406592000000,14,110,65,83
eLq0M30y,1406678400000,17,187,471,160
eLq0M30y,1406764800000,11,175,401,159
eLq0M30y,1406851200000,12,291,421,109
eLq0M30y,1406937600000,2,304,766,134
eLq0M30y,1407024000000,5,334,38,20
eLq0M30y,1407110400000,19,342,169,178
eLq0M30y,1407196800000,2,291,196,74
eLq0M30y,1407283200000,17,386,371,99
eLq0M30y,1407369600000,14,213,288,26
eLq0M30y,1407456000000,10,387,123,57
eLq0M30y,1407542400000,18,324,323,128
eLq0M30y,1407628800000,18,287,531,112
eLq0M30y,1407715200000,8,323,6,141
eLq0M30y,1407801600000,13,149,134,144
eLq0M30y,1407888000000,2,347,717,7
eLq0M30y,1407974400000,17,348,116,129
eLq0M30y,1408060800000,9,152,500,188
eLq0M30y,1408147200000,11,237,239,0
eLq0M30y,1408233600000,7,318,347,116
eLq0M30y,1408320000000,14,317,705,171
eLq0M30y,1408406400000,6,371,294,80
eLq0M30y,1408492800000,4,156,564,68
eLq0M30y,1408579200000,7,193,25,92
eLq0M30y,1408665600000,5,248,244,37
eLq0M30y,1408752000000,10,360,494,144
eLq0M30y,1408838400000,3,208,31,64
eLq0M30y,1408924800000,9,124,60,118
eLq0M30y,1409011200000,18,136,89,198
eLq0M30y,1409097600000,0,227,441,46
eLq0M30y,1409184000000,7,105,629,194
eLq0M30y,1409270400000,13,123,398,88
eLq0M30y,1409356800000,13,251,225,170
eLq0M30y,1409443200000,4,243,34,25
eLq0M30y,1409529600000,17,161,83,103
eLq0M30y,1409616000000,14,221,436,128
eLq0M30y,1409702400000,19,216,666,52
eLq0M30y,1409788800000,6,273,334,118
eLq0M30y,1409875200000,6,398,481,38
eLq0M30y,1409961600000,17,396,514,155
eLq0M30y,1410048000000,6,287,625,153
eLq0M30y,1410134400000,6,231,449,89
eLq0M30y,1410220800000,12,119,495,150
eLq0M30y,1410307200000,6,101,691,1
eLq0M30y,1410393600000,0,160,672,180
eLq0M30y,1410480000000,8,224,692,165
eLq0M30y,1410566400000,19,214,370,12
eLq0M30y,1410652800000,14,257,389,178
eLq0M30y,1410739200000,13,296,264,119
eLq0M30y,1410825600000,5,224,422,61
eLq0M30y,1410912000000,17,218,95,66
eLq0M30y,1410998400000,3,340,124,0
eLq0M30y,1411084800000,12,171,654,74
eLq0M30y,1411171200000,5,320,558,17
eLq0M30y,1411257600000,3,205,754,97
eLq0M30y,1411344000000,1,344,113,150
eLq0M30y,1411430400000,7,236,782,197
eLq0M30y,1411516800000,19,213,776,127
eLq0M30y,1411603200000,19,141,652,35
eLq0M30y,1411689600000,2,232,154,5
eLq0M30y,1411776000000,16,209,138,183
eLq0M30y,1411862400000,10,180,583,76
eLq0M30y,1411948800000,10,163,217,171
eLq0M30y,1412035200000,5,363,392,2
eLq0M30y,1412121600000,9,172,205,49
eLq0M30y,1412208000000,16,379,665,174
eLq0M30y,1412294400000,6,123,90,116
eLq0M30y,1412380800000,11,309,158,167
eLq0M30y,1412467200000,10,108,86,79
eLq0M30y,1412553600000,10,136,119,189
eLq0M30y,1412640000000,17,360,779,174
eLq0M30y,1412726400000,14,144,84,83
eLq0M30y,1412812800000,17,135,301,55
eLq0M30y,1412899200000,17,359,361,86
eLq0M30y,1412985600000,17,231,304,43
eLq0M30y,1413072000000,6,129,708,15
eLq0M30y,1413158400000,0,382,765,59
eLq0M30y,1413244800000,16,243,107,162
eLq0M30y,1413331200000,19,272,609,142
