user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
jCHFXOFI,1393632000000,7,357,334,13
jCHFXOFI,1393718400000,8,182,328,150
jCHFXOFI,1393804800000,19,159,753,0
jCHFXOFI,1393891200000,10,360,165,56
jCHFXOFI,1393977600000,8,369,547,17
jCHFXOFI,1394064000000,11,275,472,37
jCHFXOFI,1394150400000,17,349,79,187
jCHFXOFI,1394236800000,1,340,676,122
jCHFXOFI,1394323200000,3,389,133,175
jCHFXOFI,1394409600000,19,353,725,6
jCHFXOFI,1394496000000,4,321,505,48
jCHFXOFI,1394582400000,16,115,443,63
jCHFXOFI,1394668800000,4,181,405,98
jCHFXOFI,1394755200000,5,279,696,147
jCHFXOFI,1394841600000,13,185,333,104
jCHFXOFI,1394928000000,10,120,541,108
jCHFXOFI,1395014400000,8,375,474,195
jCHFXOFI,1395100800000,4,125,684,190
jCHFXOFI,1395187200000,18,344,474,90
jCHFXOFI,1395273600000,15,262,625,134
jCHFXOFI,1395360000000,4,152,34,178
jCHFXOFI,1395446400000,15,159,229,53
jCHFXOFI,1395532800000,13,297,799,117
jCHFXOFI,1395619200000,19,308,684,192
jCHFXOFI,1395705600000,11,198,569,106
jCHFXOFI,1395792000000,15,174,789,163
jCHFXOFI,1395878400000,8,100,708,21
jCHFXOFI,1395964800000,1,278,739,42
jCHFXOFI,1396051200000,7,312,588,62
jCHFXOFI,1396137600000,12,380,146,35
jCHFXOFI,1396224000000,1,145,331,199
jCHFXOFI,1396310400000,6,384,463,0
jCHFXOFI,1396396800000,15,194,494,172
jCHFXOFI,1396483200000,14,131,544,16
jCHFXOFI,1396569600000,15,299,359,31
jCHFXOFI,1396656000000,9,373,726,5
jCHFXOFI,1396742400000,6,271,674,64
jCHFXOFI,1396828800000,1,322,546,90
jCHFXOFI,1396915200000,11,362,100,2
jCHFXOFI,1397001600000,11,224,278,193
jCHFXOFI,1397088000000,10,322,421,60
jCHFXOFI,1397174400000,1,316,629,52
jCHFXOFI,1397260800000,3,180,562,192
jCHFXOFI,1397347200000,9,240,746,83
jCHFXOFI,1397433600000,10,226,481,12
jCHFXOFI,1397520000000,18,346,499,137
jCHFXOFI,1397606400000,8,184,170,77
jCHFXOFI,1397692800000,17,394,372,88
jCHFXOFI,1397779200000,2,315,36,72
jCHFXOFI,1397865600000,2,243,542,20
jCHFXOFI,1397952000000,0,379,304,98
jCHFXOFI,1398038400000,14,281,72,22
jCHFXOFI,1398124800000,16,250,502,100
jCHFXOFI,1398211200000,13,341,596,75
jCHFXOFI,1398297600000,1,356,272,134
jCHFXOFI,1398384000000,15,110,627,134
jCHFXOFI,1398470400000,4,199,571,16
jCHFXOFI,1398556800000,5,207,457,197
jCHFXOFI,1398643200000,13,167,506,153
jCHFXOFI,1398729600000,0,209,197,150
