user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
mp5MKiXw,1393632000000,10,369,331,36
mp5MKiXw,1393718400000,3,226,515,14
mp5MKiXw,1393804800000,19,302,207,166
mp5MKiXw,1393891200000,4,367,613,142
mp5MKiXw,1393977600000,8,217,707,37
mp5MKiXw,1394064000000,8,223,285,7
mp5MKiXw,1394150400000,15,352,386,66
mp5MKiXw,1394236800000,5,393,642,47
mp5MKiXw,1394323200000,18,351,570,150
mp5MKiXw,1394409600000,19,283,636,116
mp5MKiXw,1394496000000,9,235,438,119
mp5MKiXw,1394582400000,0,320,602,99
mp5MKiXw,1394668800000,1,324,174,139
mp5MKiXw,1394755200000,13,313,579,103
mp5MKiXw,1394841600000,9,365,45,63
mp5MKiXw,1394928000000,13,277,563,75
mp5MKiXw,1395014400000,5,353,282,175
mp5MKiXw,1395100800000,7,226,498,110
mp5MKiXw,1395187200000,15,155,463,47
mp5MKiXw,1395273600000,18,283,357,177
mp5MKiXw,1395360000000,18,254,452,30
mp5MKiXw,1395446400000,6,177,114,42
mp5MKiXw,1395532800000,18,300,386,11
mp5MKiXw,1395619200000,5,232,368,13
mp5MKiXw,1395705600000,1,306,585,66
mp5MKiXw,1395792000000,9,346,608,175
mp5MKiXw,1395878400000,1,152,65,112
mp5MKiXw,1395964800000,12,127,286,53
mp5MKiXw,1396051200000,8,275,524,122
mp5MKiXw,1396137600000,0,140,93,74
mp5MKiXw,1396224000000,4,245,489,90
