user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
w6BxKX[c,1391212800000,2,129,415,157
w6BxKX[c,1391299200000,3,186,339,139
w6BxKX[c,1391385600000,18,306,107,62
w6BxKX[c,1391472000000,19,396,709,129
w6BxKX[c,1391558400000,19,393,176,64
w6BxKX[c,1391644800000,7,114,591,196
w6BxKX[c,1391731200000,7,152,366,33
w6BxKX[c,1391817600000,19,278,126,25
w6BxKX[c,1391904000000,8,309,718,7
w6BxKX[c,1391990400000,12,167,150,75
w6BxKX[c,1392076800000,8,321,91,185
w6BxKX[c,1392163200000,14,230,102,147
w6BxKX[c,1392249600000,14,361,43,101
w6BxKX[c,1392336000000,16,331,291,109
w6BxKX[c,1392422400000,11,145,525,165
w6BxKX[c,1392508800000,17,175,678,21
w6BxKX[c,1392595200000,6,185,436,23
w6BxKX[c,1392681600000,15,348,524,102
w6BxKX[c,1392768000000,11,365,303,29
w6BxKX[c,1392854400000,15,376,261,84
w6BxKX[c,1392940800000,12,370,534,162
w6BxKX[c,1393027200000,17,206,734,103
w6BxKX[c,1393113600000,15,291,90,4
w6BxKX[c,1393200000000,12,145,777,166
w6BxKX[c,1393286400000,2,114,641,2
w6BxKX[c,1393372800000,17,110,658,38
w6BxKX[c,1393459200000,18,166,652,124
w6BxKX[c,1393545600000,15,302,768,99
w6BxKX[c,1393632000000,13,150,53,46
w6BxKX[c,1393718400000,3,369,289,111
w6BxKX[c,1393804800000,0,212,351,63
w6BxKX[c,1393891200000,6,243,5,135
w6BxKX[c,1393977600000,17,324,426,178
w6BxKX[c,1394064000000,7,169,6,62
w6BxKX[c,1394150400000,7,369,476,50
w6BxKX[c,1394236800000,9,247,36,72
w6BxKX[c,1394323200000,16,357,360,160
w6BxKX[c,1394409600000,0,167,37,197
w6BxKX[c,1394496000000,9,316,391,177
w6BxKX[c,1394582400000,5,196,254,4
w6BxKX[c,1394668800000,0,343,25,175
w6BxKX[c,1394755200000,0,362,439,71
w6BxKX[c,1394841600000,11,192,522,195
w6BxKX[c,1394928000000,8,236,308,173
w6BxKX[c,1395014400000,12,244,200,97
w6BxKX[c,1395100800000,5,297,422,143
w6BxKX[c,1395187200000,1,390,764,93
w6BxKX[c,1395273600000,16,250,422,43
w6BxKX[c,1395360000000,13,313,148,10
w6BxKX[c,1395446400000,6,225,587,90
w6BxKX[c,1395532800000,11,257,321,173
