user_id,timestamp,gallons_consumed,weight,calories_in,calories_out
ynhjTnfP,1406851200000,12,316,247,182
ynhjTnfP,1406937600000,4,272,692,162
ynhjTnfP,1407024000000,0,367,519,106
ynhjTnfP,1407110400000,5,298,551,61
ynhjTnfP,1407196800000,18,256,517,160
ynhjTnfP,1407283200000,1,220,95,147
ynhjTnfP,1407369600000,6,286,173,146
ynhjTnfP,1407456000000,3,137,550,124
ynhjTnfP,1407542400000,14,317,47,158
ynhjTnfP,1407628800000,14,347,184,85
ynhjTnfP,1407715200000,4,221,582,177
ynhjTnfP,1407801600000,13,317,254,162
ynhjTnfP,1407888000000,6,246,28,1
ynhjTnfP,1407974400000,10,116,599,111
ynhjTnfP,1408060800000,11,268,217,29
ynhjTnfP,1408147200000,12,323,547,196
ynhjTnfP,1408233600000,13,280,773,82
ynhjTnfP,1408320000000,16,397,217,147
ynhjTnfP,1408406400000,12,325,123,78
ynhjTnfP,1408492800000,12,353,693,71
ynhjTnfP,1408579200000,0,286,307,41
ynhjTnfP,1408665600000,12,198,149,198
ynhjTnfP,1408752000000,10,277,738,173
ynhjTnfP,1408838400000,3,305,6,14
ynhjTnfP,1408924800000,13,116,718,155
ynhjTnfP,1409011200000,9,342,190,195
ynhjTnfP,1409097600000,13,256,269,121
ynhjTnfP,1409184000000,16,383,380,176
ynhjTnfP,1409270400000,4,117,261,151
ynhjTnfP,1409356800000,14,147,319,71
ynhjTnfP,1409443200000,19,242,623,49
ynhjTnfP,1409529600000,16,180,465,79
ynhjTnfP,1409616000000,5,158,407,138
ynhjTnfP,1409702400000,17,145,460,194
ynhjTnfP,1409788800000,1,347,485,135
ynhjTnfP,1409875200000,16,287,301,53
ynhjTnfP,1409961600000,4,312,257,158
ynhjTnfP,1410048000000,14,209,484,36
ynhjTnfP,1410134400000,19,137,755,3
ynhjTnfP,1410220800000,19,262,3,165
ynhjTnfP,1410307200000,16,349,302,58
ynhjTnfP,1410393600000,11,124,78,191
ynhjTnfP,1410480000000,12,138,334,92
ynhjTnfP,1410566400000,5,342,98,147
ynhjTnfP,1410652800000,17,296,733,180
ynhjTnfP,1410739200000,10,353,452,34
ynhjTnfP,1410825600000,9,276,267,98
ynhjTnfP,1410912000000,17,106,720,19
ynhjTnfP,1410998400000,6,396,314,169
ynhjTnfP,1411084800000,12,153,317,129
ynhjTnfP,1411171200000,16,208,635,175
ynhjTnfP,1411257600000,4,280,52,100
ynhjTnfP,1411344000000,13,342,198,9
ynhjTnfP,1411430400000,3,397,96,77
ynhjTnfP,1411516800000,2,180,202,16
ynhjTnfP,1411603200000,17,306,422,121
ynhjTnfP,1411689600000,3,308,304,163
ynhjTnfP,1411776000000,0,127,406,114
ynhjTnfP,1411862400000,19,177,16,99
ynhjTnfP,1411948800000,15,231,60,128
ynhjTnfP,1412035200000,13,348,644,150
ynhjTnfP,1412121600000,15,223,783,145
ynhjTnfP,1412208000000,11,211,164,2
ynhjTnfP,1412294400000,2,177,498,83
ynhjTnfP,1412380800000,14,106,797,27
ynhjTnfP,1412467200000,17,207,662,133
ynhjTnfP,1412553600000,14,383,474,89
ynhjTnfP,1412640000000,15,229,426,53
ynhjTnfP,1412726400000,0,179,352,101
ynhjTnfP,1412812800000,3,352,612,122
ynhjTnfP,1412899200000,16,295,780,63
ynhjTnfP,1412985600000,14,298,406,102
ynhjTnfP,1413072000000,9,205,683,154
ynhjTnfP,1413158400000,17,238,222,15
ynhjTnfP,1413244800000,3,336,332,96
ynhjTnfP,1413331200000,0,105,434,174
ynhjTnfP,1413417600000,7,392,498,89
ynhjTnfP,1413504000000,3,203,242,188
ynhjTnfP,1413590400000,0,210,759,15
ynhjTnfP,1413676800000,14,340,356,67
ynhjTnfP,1413763200000,1,377,726,101
ynhjTnfP,1413849600000,1,146,574,52
ynhjTnfP,1413936000000,1,247,194,73
ynhjTnfP,1414022400000,10,347,337,5
ynhjTnfP,1414108800000,19,332,763,57
ynhjTnfP,1414195200000,0,325,123,61
ynhjTnfP,1414281600000,3,252,541,177
ynhjTnfP,1414368000000,16,270,187,106
ynhjTnfP,1414454400000,1,285,73,4
ynhjTnfP,1414540800000,0,104,491,62
ynhjTnfP,1414627200000,14,233,304,95
ynhjTnfP,1414713600000,2,340,333,44
